date,Arts_FI
2018-01-07,60
2018-01-14,71
2018-01-21,77
2018-01-28,57
2018-02-04,51
2018-02-11,58
2018-02-18,39
2018-02-25,59
2018-03-04,69
2018-03-11,59
2018-03-18,71
2018-03-25,66
2018-04-01,56
2018-04-08,73
2018-04-15,58
2018-04-22,65
2018-04-29,55
2018-05-06,64
2018-05-13,56
2018-05-20,47
2018-05-27,50
2018-06-03,50
2018-06-10,43
2018-06-17,41
2018-06-24,47
2018-07-01,42
2018-07-08,56
2018-07-15,50
2018-07-22,55
2018-07-29,63
2018-08-05,62
2018-08-12,78
2018-08-19,93
2018-08-26,43
2018-09-02,77
2018-09-09,51
2018-09-16,60
2018-09-23,63
2018-09-30,71
2018-10-07,58
2018-10-14,45
2018-10-21,58
2018-10-28,54
2018-11-04,61
2018-11-11,52
2018-11-18,45
2018-11-25,61
2018-12-02,42
2018-12-09,42
2018-12-16,54
2018-12-23,51
2018-12-30,52
2019-01-06,66
2019-01-13,66
2019-01-20,63
2019-01-27,63
2019-02-03,62
2019-02-10,72
2019-02-17,73
2019-02-24,54
2019-03-03,59
2019-03-10,68
2019-03-17,60
2019-03-24,57
2019-03-31,53
2019-04-07,40
2019-04-14,48
2019-04-21,48
2019-04-28,50
2019-05-05,51
2019-05-12,48
2019-05-19,54
2019-05-26,58
2019-06-02,45
2019-06-09,51
2019-06-16,41
2019-06-23,53
2019-06-30,46
2019-07-07,56
2019-07-14,51
2019-07-21,41
2019-07-28,43
2019-08-04,55
2019-08-11,100
2019-08-18,56
2019-08-25,49
2019-09-01,70
2019-09-08,42
2019-09-15,59
2019-09-22,55
2019-09-29,47
2019-10-06,59
2019-10-13,57
2019-10-20,51
2019-10-27,55
2019-11-03,60
2019-11-10,55
2019-11-17,53
2019-11-24,43
2019-12-01,57
2019-12-08,52
2019-12-15,48
2019-12-22,52
2019-12-29,35
2020-01-05,53
2020-01-12,60
2020-01-19,47
2020-01-26,52
2020-02-02,54
2020-02-09,53
2020-02-16,53
2020-02-23,44
2020-03-01,65
2020-03-08,55
