date,Collecting_FI
2020-03-15,66
2020-03-22,78
2020-03-29,65
2020-04-05,26
2020-04-12,77
2020-04-19,52
2020-04-26,100
2020-05-03,71
2020-05-10,71
2020-05-17,41
2020-05-24,28
2020-05-31,34
2020-06-07,57
2020-06-14,68
2020-06-21,37
2020-06-28,41
2020-07-05,14
2020-07-12,69
2020-07-19,44
2020-07-26,60
2020-08-02,51
2020-08-09,37
2020-08-16,36
2020-08-23,56
2020-08-30,41
2020-09-06,49
2020-09-13,63
2020-09-20,57
2020-09-27,37
2020-10-04,30
2020-10-11,64
2020-10-18,64
2020-10-25,39
2020-11-01,44
2020-11-08,15
2020-11-15,62
2020-11-22,38
2020-11-29,69
2020-12-06,39
2020-12-13,32
2020-12-20,35
2020-12-27,41
2021-01-03,31
2021-01-10,31
2021-01-17,46
2021-01-24,77
2021-01-31,39
2021-02-07,24
2021-02-14,39
2021-02-21,31
2021-02-28,38
2021-03-07,47
2021-03-14,29
2021-03-21,23
2021-03-28,24
2021-04-04,69
2021-04-11,79
2021-04-18,47
2021-04-25,23
2021-05-02,46
2021-05-09,65
2021-05-16,61
2021-05-23,40
2021-05-30,33
2021-06-06,16
2021-06-13,0
2021-06-20,69
2021-06-27,25
2021-07-04,33
2021-07-11,25
2021-07-18,34
2021-07-25,8
2021-08-01,97
2021-08-08,49
2021-08-15,16
2021-08-22,71
2021-08-29,35
