date,Game_FI
2018-01-07,71
2018-01-14,67
2018-01-21,69
2018-01-28,70
2018-02-04,62
2018-02-11,75
2018-02-18,72
2018-02-25,69
2018-03-04,71
2018-03-11,73
2018-03-18,69
2018-03-25,68
2018-04-01,72
2018-04-08,63
2018-04-15,71
2018-04-22,73
2018-04-29,62
2018-05-06,76
2018-05-13,66
2018-05-20,58
2018-05-27,57
2018-06-03,61
2018-06-10,62
2018-06-17,58
2018-06-24,64
2018-07-01,63
2018-07-08,53
2018-07-15,60
2018-07-22,49
2018-07-29,53
2018-08-05,56
2018-08-12,52
2018-08-19,64
2018-08-26,58
2018-09-02,62
2018-09-09,68
2018-09-16,70
2018-09-23,62
2018-09-30,65
2018-10-07,69
2018-10-14,69
2018-10-21,75
2018-10-28,75
2018-11-04,70
2018-11-11,76
2018-11-18,75
2018-11-25,79
2018-12-02,76
2018-12-09,74
2018-12-16,85
2018-12-23,91
2018-12-30,78
2019-01-06,68
2019-01-13,73
2019-01-20,71
2019-01-27,55
2019-02-03,52
2019-02-10,51
2019-02-17,57
2019-02-24,57
2019-03-03,51
2019-03-10,56
2019-03-17,54
2019-03-24,51
2019-03-31,57
2019-04-07,64
2019-04-14,63
2019-04-21,65
2019-04-28,65
2019-05-05,62
2019-05-12,73
2019-05-19,84
2019-05-26,63
2019-06-02,60
2019-06-09,57
2019-06-16,56
2019-06-23,61
2019-06-30,56
2019-07-07,61
2019-07-14,56
2019-07-21,54
2019-07-28,63
2019-08-04,60
2019-08-11,57
2019-08-18,61
2019-08-25,65
2019-09-01,68
2019-09-08,69
2019-09-15,68
2019-09-22,73
2019-09-29,65
2019-10-06,72
2019-10-13,76
2019-10-20,71
2019-10-27,69
2019-11-03,72
2019-11-10,71
2019-11-17,75
2019-11-24,76
2019-12-01,73
2019-12-08,90
2019-12-15,88
2019-12-22,100
2019-12-29,79
2020-01-05,75
2020-01-12,78
2020-01-19,80
2020-01-26,75
2020-02-02,74
2020-02-09,75
2020-02-16,77
2020-02-23,73
2020-03-01,73
2020-03-08,78
