date,Collecting_FR
2018-01-07,99
2018-01-14,81
2018-01-21,95
2018-01-28,84
2018-02-04,91
2018-02-11,90
2018-02-18,82
2018-02-25,84
2018-03-04,80
2018-03-11,78
2018-03-18,83
2018-03-25,85
2018-04-01,90
2018-04-08,78
2018-04-15,70
2018-04-22,90
2018-04-29,78
2018-05-06,85
2018-05-13,75
2018-05-20,71
2018-05-27,73
2018-06-03,63
2018-06-10,66
2018-06-17,72
2018-06-24,56
2018-07-01,58
2018-07-08,57
2018-07-15,65
2018-07-22,61
2018-07-29,78
2018-08-05,67
2018-08-12,90
2018-08-19,90
2018-08-26,84
2018-09-02,79
2018-09-09,86
2018-09-16,82
2018-09-23,77
2018-09-30,71
2018-10-07,75
2018-10-14,83
2018-10-21,78
2018-10-28,88
2018-11-04,80
2018-11-11,88
2018-11-18,76
2018-11-25,65
2018-12-02,78
2018-12-09,84
2018-12-16,81
2018-12-23,92
2018-12-30,96
2019-01-06,94
2019-01-13,88
2019-01-20,84
2019-01-27,40
2019-02-03,30
2019-02-10,25
2019-02-17,30
2019-02-24,26
2019-03-03,26
2019-03-10,26
2019-03-17,27
2019-03-24,22
2019-03-31,69
2019-04-07,78
2019-04-14,77
2019-04-21,75
2019-04-28,76
2019-05-05,77
2019-05-12,73
2019-05-19,65
2019-05-26,76
2019-06-02,71
2019-06-09,74
2019-06-16,71
2019-06-23,61
2019-06-30,68
2019-07-07,70
2019-07-14,60
2019-07-21,63
2019-07-28,68
2019-08-04,79
2019-08-11,100
2019-08-18,74
2019-08-25,82
2019-09-01,75
2019-09-08,76
2019-09-15,70
2019-09-22,70
2019-09-29,82
2019-10-06,82
2019-10-13,69
2019-10-20,76
2019-10-27,94
2019-11-03,76
2019-11-10,67
2019-11-17,77
2019-11-24,85
2019-12-01,75
2019-12-08,77
2019-12-15,83
2019-12-22,94
2019-12-29,99
2020-01-05,93
2020-01-12,86
2020-01-19,88
2020-01-26,79
2020-02-02,86
2020-02-09,86
2020-02-16,78
2020-02-23,79
2020-03-01,84
2020-03-08,70
