date,Cooking_FR
2020-03-15,38
2020-03-22,48
2020-03-29,54
2020-04-05,56
2020-04-12,67
2020-04-19,57
2020-04-26,57
2020-05-03,51
2020-05-10,47
2020-05-17,49
2020-05-24,42
2020-05-31,40
2020-06-07,44
2020-06-14,37
2020-06-21,34
2020-06-28,34
2020-07-05,31
2020-07-12,35
2020-07-19,35
2020-07-26,34
2020-08-02,35
2020-08-09,36
2020-08-16,37
2020-08-23,35
2020-08-30,34
2020-09-06,33
2020-09-13,35
2020-09-20,38
2020-09-27,39
2020-10-04,43
2020-10-11,45
2020-10-18,45
2020-10-25,44
2020-11-01,46
2020-11-08,52
2020-11-15,48
2020-11-22,45
2020-11-29,43
2020-12-06,44
2020-12-13,45
2020-12-20,100
2020-12-27,69
2021-01-03,43
2021-01-10,46
2021-01-17,45
2021-01-24,44
2021-01-31,44
2021-02-07,44
2021-02-14,43
2021-02-21,46
2021-02-28,46
2021-03-07,43
2021-03-14,40
2021-03-21,44
2021-03-28,49
2021-04-04,55
2021-04-11,51
2021-04-18,50
2021-04-25,44
2021-05-02,42
2021-05-09,46
2021-05-16,40
2021-05-23,39
2021-05-30,35
2021-06-06,31
2021-06-13,28
2021-06-20,31
2021-06-27,29
2021-07-04,31
2021-07-11,32
2021-07-18,30
2021-07-25,31
2021-08-01,34
2021-08-08,35
2021-08-15,35
2021-08-22,35
2021-08-29,33
