date,Pets_FR
2018-01-07,58
2018-01-14,53
2018-01-21,52
2018-01-28,41
2018-02-04,46
2018-02-11,49
2018-02-18,63
2018-02-25,50
2018-03-04,57
2018-03-11,54
2018-03-18,44
2018-03-25,51
2018-04-01,54
2018-04-08,53
2018-04-15,53
2018-04-22,41
2018-04-29,47
2018-05-06,56
2018-05-13,48
2018-05-20,48
2018-05-27,56
2018-06-03,42
2018-06-10,41
2018-06-17,38
2018-06-24,46
2018-07-01,56
2018-07-08,59
2018-07-15,52
2018-07-22,59
2018-07-29,67
2018-08-05,66
2018-08-12,67
2018-08-19,56
2018-08-26,62
2018-09-02,53
2018-09-09,55
2018-09-16,58
2018-09-23,51
2018-09-30,54
2018-10-07,56
2018-10-14,56
2018-10-21,57
2018-10-28,46
2018-11-04,64
2018-11-11,56
2018-11-18,44
2018-11-25,43
2018-12-02,41
2018-12-09,46
2018-12-16,39
2018-12-23,57
2018-12-30,58
2019-01-06,37
2019-01-13,50
2019-01-20,44
2019-01-27,86
2019-02-03,86
2019-02-10,95
2019-02-17,96
2019-02-24,90
2019-03-03,94
2019-03-10,90
2019-03-17,98
2019-03-24,100
2019-03-31,55
2019-04-07,58
2019-04-14,48
2019-04-21,70
2019-04-28,59
2019-05-05,49
2019-05-12,50
2019-05-19,54
2019-05-26,63
2019-06-02,48
2019-06-09,51
2019-06-16,56
2019-06-23,50
2019-06-30,56
2019-07-07,63
2019-07-14,57
2019-07-21,63
2019-07-28,72
2019-08-04,63
2019-08-11,85
2019-08-18,60
2019-08-25,78
2019-09-01,69
2019-09-08,70
2019-09-15,72
2019-09-22,63
2019-09-29,63
2019-10-06,67
2019-10-13,60
2019-10-20,67
2019-10-27,54
2019-11-03,59
2019-11-10,71
2019-11-17,59
2019-11-24,56
2019-12-01,51
2019-12-08,60
2019-12-15,45
2019-12-22,60
2019-12-29,55
2020-01-05,59
2020-01-12,67
2020-01-19,51
2020-01-26,50
2020-02-02,56
2020-02-09,54
2020-02-16,57
2020-02-23,54
2020-03-01,55
2020-03-08,61
