date,Cooking_GB
2018-01-07,29
2018-01-14,30
2018-01-21,31
2018-01-28,28
2018-02-04,28
2018-02-11,29
2018-02-18,27
2018-02-25,25
2018-03-04,27
2018-03-11,26
2018-03-18,28
2018-03-25,29
2018-04-01,30
2018-04-08,26
2018-04-15,22
2018-04-22,25
2018-04-29,24
2018-05-06,24
2018-05-13,23
2018-05-20,21
2018-05-27,24
2018-06-03,22
2018-06-10,23
2018-06-17,23
2018-06-24,21
2018-07-01,20
2018-07-08,20
2018-07-15,23
2018-07-22,23
2018-07-29,24
2018-08-05,23
2018-08-12,25
2018-08-19,26
2018-08-26,27
2018-09-02,26
2018-09-09,28
2018-09-16,28
2018-09-23,27
2018-09-30,27
2018-10-07,29
2018-10-14,28
2018-10-21,27
2018-10-28,29
2018-11-04,29
2018-11-11,26
2018-11-18,28
2018-11-25,28
2018-12-02,27
2018-12-09,30
2018-12-16,39
2018-12-23,100
2018-12-30,37
2019-01-06,32
2019-01-13,32
2019-01-20,29
2019-01-27,29
2019-02-03,30
2019-02-10,31
2019-02-17,27
2019-02-24,26
2019-03-03,26
2019-03-10,27
2019-03-17,26
2019-03-24,26
2019-03-31,25
2019-04-07,26
2019-04-14,29
2019-04-21,30
2019-04-28,25
2019-05-05,25
2019-05-12,23
2019-05-19,24
2019-05-26,23
2019-06-02,24
2019-06-09,26
2019-06-16,24
2019-06-23,23
2019-06-30,23
2019-07-07,23
2019-07-14,23
2019-07-21,23
2019-07-28,24
2019-08-04,24
2019-08-11,26
2019-08-18,26
2019-08-25,25
2019-09-01,28
2019-09-08,27
2019-09-15,27
2019-09-22,27
2019-09-29,27
2019-10-06,27
2019-10-13,28
2019-10-20,27
2019-10-27,28
2019-11-03,29
2019-11-10,28
2019-11-17,29
2019-11-24,28
2019-12-01,28
2019-12-08,27
2019-12-15,37
2019-12-22,100
2019-12-29,39
2020-01-05,34
2020-01-12,32
2020-01-19,32
2020-01-26,28
2020-02-02,31
2020-02-09,30
2020-02-16,28
2020-02-23,29
2020-03-01,27
2020-03-08,26
