date,Learning_GB
2020-03-15,78
2020-03-22,100
2020-03-29,92
2020-04-05,63
2020-04-12,68
2020-04-19,100
2020-04-26,94
2020-05-03,81
2020-05-10,85
2020-05-17,79
2020-05-24,56
2020-05-31,75
2020-06-07,74
2020-06-14,70
2020-06-21,63
2020-06-28,66
2020-07-05,61
2020-07-12,55
2020-07-19,50
2020-07-26,46
2020-08-02,44
2020-08-09,45
2020-08-16,50
2020-08-23,50
2020-08-30,55
2020-09-06,64
2020-09-13,67
2020-09-20,71
2020-09-27,72
2020-10-04,74
2020-10-11,69
2020-10-18,65
2020-10-25,54
2020-11-01,64
2020-11-08,68
2020-11-15,67
2020-11-22,62
2020-11-29,60
2020-12-06,60
2020-12-13,52
2020-12-20,36
2020-12-27,46
2021-01-03,89
2021-01-10,89
2021-01-17,80
2021-01-24,80
2021-01-31,73
2021-02-07,69
2021-02-14,57
2021-02-21,65
2021-02-28,65
2021-03-07,63
2021-03-14,59
2021-03-21,64
2021-03-28,52
2021-04-04,46
2021-04-11,49
2021-04-18,56
2021-04-25,61
2021-05-02,57
2021-05-09,63
2021-05-16,59
2021-05-23,55
2021-05-30,45
2021-06-06,52
2021-06-13,51
2021-06-20,53
2021-06-27,50
2021-07-04,48
2021-07-11,46
2021-07-18,43
2021-07-25,39
2021-08-01,39
2021-08-08,41
2021-08-15,41
2021-08-22,41
2021-08-29,41
