date,Crafts_HK
2018-01-07,61
2018-01-14,64
2018-01-21,93
2018-01-28,60
2018-02-04,83
2018-02-11,56
2018-02-18,52
2018-02-25,55
2018-03-04,78
2018-03-11,68
2018-03-18,37
2018-03-25,58
2018-04-01,45
2018-04-08,61
2018-04-15,28
2018-04-22,47
2018-04-29,34
2018-05-06,75
2018-05-13,39
2018-05-20,40
2018-05-27,68
2018-06-03,57
2018-06-10,47
2018-06-17,44
2018-06-24,48
2018-07-01,25
2018-07-08,51
2018-07-15,73
2018-07-22,69
2018-07-29,34
2018-08-05,100
2018-08-12,42
2018-08-19,53
2018-08-26,39
2018-09-02,28
2018-09-09,41
2018-09-16,46
2018-09-23,74
2018-09-30,72
2018-10-07,79
2018-10-14,34
2018-10-21,46
2018-10-28,42
2018-11-04,55
2018-11-11,60
2018-11-18,55
2018-11-25,65
2018-12-02,60
2018-12-09,59
2018-12-16,88
2018-12-23,33
2018-12-30,52
2019-01-06,75
2019-01-13,56
2019-01-20,53
2019-01-27,69
2019-02-03,23
2019-02-10,41
2019-02-17,58
2019-02-24,97
2019-03-03,41
2019-03-10,41
2019-03-17,49
2019-03-24,66
2019-03-31,61
2019-04-07,67
2019-04-14,74
2019-04-21,47
2019-04-28,71
2019-05-05,53
2019-05-12,68
2019-05-19,44
2019-05-26,49
2019-06-02,41
2019-06-09,60
2019-06-16,43
2019-06-23,51
2019-06-30,68
2019-07-07,51
2019-07-14,42
2019-07-21,65
2019-07-28,29
2019-08-04,34
2019-08-11,37
2019-08-18,64
2019-08-25,64
2019-09-01,40
2019-09-08,57
2019-09-15,65
2019-09-22,44
2019-09-29,44
2019-10-06,48
2019-10-13,72
2019-10-20,34
2019-10-27,85
2019-11-03,47
2019-11-10,48
2019-11-17,38
2019-11-24,50
2019-12-01,61
2019-12-08,43
2019-12-15,55
2019-12-22,39
2019-12-29,39
2020-01-05,41
2020-01-12,69
2020-01-19,91
2020-01-26,19
2020-02-02,56
2020-02-09,39
2020-02-16,46
2020-02-23,50
2020-03-01,51
2020-03-08,54
