date,Game_HK
2018-01-07,77
2018-01-14,73
2018-01-21,82
2018-01-28,100
2018-02-04,76
2018-02-11,89
2018-02-18,83
2018-02-25,69
2018-03-04,57
2018-03-11,71
2018-03-18,66
2018-03-25,79
2018-04-01,67
2018-04-08,79
2018-04-15,70
2018-04-22,73
2018-04-29,68
2018-05-06,66
2018-05-13,67
2018-05-20,70
2018-05-27,83
2018-06-03,76
2018-06-10,72
2018-06-17,76
2018-06-24,80
2018-07-01,79
2018-07-08,62
2018-07-15,65
2018-07-22,69
2018-07-29,64
2018-08-05,68
2018-08-12,67
2018-08-19,68
2018-08-26,66
2018-09-02,56
2018-09-09,63
2018-09-16,62
2018-09-23,78
2018-09-30,69
2018-10-07,63
2018-10-14,71
2018-10-21,74
2018-10-28,66
2018-11-04,58
2018-11-11,68
2018-11-18,70
2018-11-25,73
2018-12-02,64
2018-12-09,69
2018-12-16,76
2018-12-23,75
2018-12-30,70
2019-01-06,68
2019-01-13,59
2019-01-20,74
2019-01-27,48
2019-02-03,55
2019-02-10,40
2019-02-17,46
2019-02-24,48
2019-03-03,43
2019-03-10,44
2019-03-17,36
2019-03-24,38
2019-03-31,66
2019-04-07,66
2019-04-14,72
2019-04-21,73
2019-04-28,62
2019-05-05,67
2019-05-12,68
2019-05-19,80
2019-05-26,71
2019-06-02,79
2019-06-09,86
2019-06-16,69
2019-06-23,71
2019-06-30,68
2019-07-07,65
2019-07-14,67
2019-07-21,60
2019-07-28,65
2019-08-04,57
2019-08-11,62
2019-08-18,71
2019-08-25,75
2019-09-01,71
2019-09-08,62
2019-09-15,55
2019-09-22,65
2019-09-29,63
2019-10-06,69
2019-10-13,66
2019-10-20,62
2019-10-27,71
2019-11-03,71
2019-11-10,71
2019-11-17,68
2019-11-24,70
2019-12-01,63
2019-12-08,79
2019-12-15,72
2019-12-22,79
2019-12-29,73
2020-01-05,65
2020-01-12,72
2020-01-19,76
2020-01-26,80
2020-02-02,75
2020-02-09,83
2020-02-16,84
2020-02-23,81
2020-03-01,77
2020-03-08,83
