date,Music_HK
2018-01-07,99
2018-01-14,85
2018-01-21,80
2018-01-28,100
2018-02-04,89
2018-02-11,97
2018-02-18,90
2018-02-25,98
2018-03-04,91
2018-03-11,94
2018-03-18,80
2018-03-25,85
2018-04-01,90
2018-04-08,91
2018-04-15,81
2018-04-22,83
2018-04-29,84
2018-05-06,79
2018-05-13,89
2018-05-20,98
2018-05-27,87
2018-06-03,70
2018-06-10,85
2018-06-17,77
2018-06-24,73
2018-07-01,78
2018-07-08,76
2018-07-15,88
2018-07-22,73
2018-07-29,82
2018-08-05,69
2018-08-12,77
2018-08-19,88
2018-08-26,91
2018-09-02,89
2018-09-09,75
2018-09-16,84
2018-09-23,87
2018-09-30,87
2018-10-07,85
2018-10-14,91
2018-10-21,76
2018-10-28,82
2018-11-04,92
2018-11-11,82
2018-11-18,86
2018-11-25,89
2018-12-02,90
2018-12-09,87
2018-12-16,86
2018-12-23,85
2018-12-30,85
2019-01-06,89
2019-01-13,94
2019-01-20,97
2019-01-27,55
2019-02-03,36
2019-02-10,48
2019-02-17,49
2019-02-24,54
2019-03-03,58
2019-03-10,49
2019-03-17,51
2019-03-24,51
2019-03-31,84
2019-04-07,94
2019-04-14,83
2019-04-21,80
2019-04-28,95
2019-05-05,77
2019-05-12,80
2019-05-19,83
2019-05-26,79
2019-06-02,94
2019-06-09,67
2019-06-16,78
2019-06-23,85
2019-06-30,79
2019-07-07,77
2019-07-14,79
2019-07-21,64
2019-07-28,77
2019-08-04,75
2019-08-11,64
2019-08-18,72
2019-08-25,65
2019-09-01,90
2019-09-08,80
2019-09-15,92
2019-09-22,96
2019-09-29,78
2019-10-06,84
2019-10-13,77
2019-10-20,79
2019-10-27,75
2019-11-03,94
2019-11-10,77
2019-11-17,76
2019-11-24,72
2019-12-01,85
2019-12-08,77
2019-12-15,85
2019-12-22,90
2019-12-29,80
2020-01-05,74
2020-01-12,81
2020-01-19,68
2020-01-26,59
2020-02-02,60
2020-02-09,66
2020-02-16,83
2020-02-23,74
2020-03-01,80
2020-03-08,90
