date,Learning_ID
2018-01-07,52
2018-01-14,43
2018-01-21,42
2018-01-28,40
2018-02-04,43
2018-02-11,43
2018-02-18,53
2018-02-25,56
2018-03-04,59
2018-03-11,61
2018-03-18,60
2018-03-25,57
2018-04-01,65
2018-04-08,64
2018-04-15,62
2018-04-22,59
2018-04-29,59
2018-05-06,52
2018-05-13,49
2018-05-20,51
2018-05-27,48
2018-06-03,48
2018-06-10,17
2018-06-17,17
2018-06-24,30
2018-07-01,35
2018-07-08,47
2018-07-15,48
2018-07-22,52
2018-07-29,41
2018-08-05,42
2018-08-12,32
2018-08-19,34
2018-08-26,47
2018-09-02,60
2018-09-09,67
2018-09-16,66
2018-09-23,71
2018-09-30,79
2018-10-07,80
2018-10-14,79
2018-10-21,81
2018-10-28,84
2018-11-04,74
2018-11-11,77
2018-11-18,62
2018-11-25,62
2018-12-02,77
2018-12-09,71
2018-12-16,59
2018-12-23,37
2018-12-30,43
2019-01-06,50
2019-01-13,49
2019-01-20,52
2019-01-27,49
2019-02-03,47
2019-02-10,59
2019-02-17,54
2019-02-24,61
2019-03-03,54
2019-03-10,66
2019-03-17,71
2019-03-24,76
2019-03-31,64
2019-04-07,80
2019-04-14,51
2019-04-21,75
2019-04-28,68
2019-05-05,68
2019-05-12,62
2019-05-19,65
2019-05-26,39
2019-06-02,21
2019-06-09,37
2019-06-16,52
2019-06-23,65
2019-06-30,61
2019-07-07,64
2019-07-14,64
2019-07-21,56
2019-07-28,48
2019-08-04,48
2019-08-11,40
2019-08-18,56
2019-08-25,57
2019-09-01,60
2019-09-08,68
2019-09-15,80
2019-09-22,80
2019-09-29,89
2019-10-06,94
2019-10-13,100
2019-10-20,96
2019-10-27,93
2019-11-03,90
2019-11-10,89
2019-11-17,88
2019-11-24,76
2019-12-01,73
2019-12-08,70
2019-12-15,61
2019-12-22,39
2019-12-29,37
2020-01-05,56
2020-01-12,53
2020-01-19,52
2020-01-26,46
2020-02-02,55
2020-02-09,60
2020-02-16,58
2020-02-23,67
2020-03-01,69
2020-03-08,75
