date,Music_ID
2020-03-15,54
2020-03-22,55
2020-03-29,61
2020-04-05,60
2020-04-12,59
2020-04-19,47
2020-04-26,43
2020-05-03,45
2020-05-10,50
2020-05-17,39
2020-05-24,35
2020-05-31,70
2020-06-07,84
2020-06-14,42
2020-06-21,30
2020-06-28,28
2020-07-05,29
2020-07-12,45
2020-07-19,61
2020-07-26,46
2020-08-02,44
2020-08-09,44
2020-08-16,37
2020-08-23,42
2020-08-30,44
2020-09-06,47
2020-09-13,54
2020-09-20,62
2020-09-27,56
2020-10-04,59
2020-10-11,55
2020-10-18,49
2020-10-25,39
2020-11-01,44
2020-11-08,45
2020-11-15,45
2020-11-22,53
2020-11-29,100
2020-12-06,76
2020-12-13,33
2020-12-20,26
2020-12-27,25
2021-01-03,29
2021-01-10,37
2021-01-17,38
2021-01-24,39
2021-01-31,41
2021-02-07,44
2021-02-14,51
2021-02-21,53
2021-02-28,64
2021-03-07,63
2021-03-14,75
2021-03-21,51
2021-03-28,42
2021-04-04,51
2021-04-11,29
2021-04-18,38
2021-04-25,37
2021-05-02,35
2021-05-09,24
2021-05-16,29
2021-05-23,42
2021-05-30,62
2021-06-06,84
2021-06-13,34
2021-06-20,32
2021-06-27,25
2021-07-04,23
2021-07-11,32
2021-07-18,39
2021-07-25,44
2021-08-01,38
2021-08-08,36
2021-08-15,34
2021-08-22,37
2021-08-29,37
