date,Performing_Art_ID
2020-03-15,47
2020-03-22,51
2020-03-29,48
2020-04-05,47
2020-04-12,44
2020-04-19,27
2020-04-26,25
2020-05-03,26
2020-05-10,37
2020-05-17,19
2020-05-24,10
2020-05-31,63
2020-06-07,82
2020-06-14,26
2020-06-21,4
2020-06-28,4
2020-07-05,3
2020-07-12,6
2020-07-19,13
2020-07-26,13
2020-08-02,18
2020-08-09,21
2020-08-16,12
2020-08-23,24
2020-08-30,20
2020-09-06,28
2020-09-13,28
2020-09-20,36
2020-09-27,28
2020-10-04,28
2020-10-11,22
2020-10-18,21
2020-10-25,14
2020-11-01,24
2020-11-08,26
2020-11-15,29
2020-11-22,41
2020-11-29,92
2020-12-06,55
2020-12-13,15
2020-12-20,4
2020-12-27,3
2021-01-03,8
2021-01-10,19
2021-01-17,26
2021-01-24,29
2021-01-31,32
2021-02-07,34
2021-02-14,40
2021-02-21,47
2021-02-28,53
2021-03-07,48
2021-03-14,69
2021-03-21,45
2021-03-28,33
2021-04-04,55
2021-04-11,21
2021-04-18,28
2021-04-25,30
2021-05-02,29
2021-05-09,6
2021-05-16,15
2021-05-23,36
2021-05-30,66
2021-06-06,100
2021-06-13,22
2021-06-20,3
2021-06-27,2
2021-07-04,2
2021-07-11,5
2021-07-18,7
2021-07-25,14
2021-08-01,18
2021-08-08,18
2021-08-15,17
2021-08-22,21
2021-08-29,24
