date,Collecting_IN
2018-01-07,70
2018-01-14,70
2018-01-21,63
2018-01-28,63
2018-02-04,65
2018-02-11,51
2018-02-18,75
2018-02-25,67
2018-03-04,55
2018-03-11,70
2018-03-18,73
2018-03-25,53
2018-04-01,51
2018-04-08,83
2018-04-15,38
2018-04-22,66
2018-04-29,55
2018-05-06,55
2018-05-13,47
2018-05-20,66
2018-05-27,42
2018-06-03,60
2018-06-10,66
2018-06-17,49
2018-06-24,67
2018-07-01,58
2018-07-08,53
2018-07-15,52
2018-07-22,69
2018-07-29,65
2018-08-05,66
2018-08-12,67
2018-08-19,56
2018-08-26,61
2018-09-02,88
2018-09-09,68
2018-09-16,66
2018-09-23,73
2018-09-30,58
2018-10-07,60
2018-10-14,67
2018-10-21,39
2018-10-28,65
2018-11-04,50
2018-11-11,71
2018-11-18,52
2018-11-25,67
2018-12-02,64
2018-12-09,55
2018-12-16,68
2018-12-23,65
2018-12-30,53
2019-01-06,47
2019-01-13,68
2019-01-20,55
2019-01-27,57
2019-02-03,70
2019-02-10,51
2019-02-17,73
2019-02-24,53
2019-03-03,63
2019-03-10,59
2019-03-17,65
2019-03-24,90
2019-03-31,56
2019-04-07,58
2019-04-14,56
2019-04-21,67
2019-04-28,47
2019-05-05,68
2019-05-12,79
2019-05-19,81
2019-05-26,62
2019-06-02,68
2019-06-09,58
2019-06-16,64
2019-06-23,68
2019-06-30,73
2019-07-07,67
2019-07-14,65
2019-07-21,54
2019-07-28,76
2019-08-04,68
2019-08-11,66
2019-08-18,67
2019-08-25,65
2019-09-01,66
2019-09-08,64
2019-09-15,88
2019-09-22,92
2019-09-29,55
2019-10-06,73
2019-10-13,66
2019-10-20,76
2019-10-27,74
2019-11-03,62
2019-11-10,75
2019-11-17,100
2019-11-24,68
2019-12-01,78
2019-12-08,64
2019-12-15,61
2019-12-22,73
2019-12-29,80
2020-01-05,76
2020-01-12,84
2020-01-19,62
2020-01-26,84
2020-02-02,57
2020-02-09,53
2020-02-16,61
2020-02-23,84
2020-03-01,53
2020-03-08,50
