date,Cooking_IN
2018-01-07,87
2018-01-14,87
2018-01-21,82
2018-01-28,84
2018-02-04,82
2018-02-11,76
2018-02-18,81
2018-02-25,82
2018-03-04,83
2018-03-11,85
2018-03-18,89
2018-03-25,87
2018-04-01,78
2018-04-08,85
2018-04-15,80
2018-04-22,79
2018-04-29,84
2018-05-06,80
2018-05-13,88
2018-05-20,83
2018-05-27,84
2018-06-03,80
2018-06-10,85
2018-06-17,89
2018-06-24,89
2018-07-01,87
2018-07-08,86
2018-07-15,93
2018-07-22,92
2018-07-29,93
2018-08-05,96
2018-08-12,88
2018-08-19,95
2018-08-26,91
2018-09-02,94
2018-09-09,92
2018-09-16,89
2018-09-23,93
2018-09-30,97
2018-10-07,89
2018-10-14,88
2018-10-21,89
2018-10-28,92
2018-11-04,86
2018-11-11,85
2018-11-18,93
2018-11-25,88
2018-12-02,91
2018-12-09,82
2018-12-16,91
2018-12-23,86
2018-12-30,88
2019-01-06,94
2019-01-13,87
2019-01-20,87
2019-01-27,90
2019-02-03,84
2019-02-10,78
2019-02-17,89
2019-02-24,79
2019-03-03,83
2019-03-10,83
2019-03-17,92
2019-03-24,80
2019-03-31,82
2019-04-07,83
2019-04-14,84
2019-04-21,84
2019-04-28,80
2019-05-05,84
2019-05-12,85
2019-05-19,81
2019-05-26,85
2019-06-02,80
2019-06-09,84
2019-06-16,84
2019-06-23,87
2019-06-30,84
2019-07-07,83
2019-07-14,87
2019-07-21,100
2019-07-28,95
2019-08-04,93
2019-08-11,93
2019-08-18,88
2019-08-25,83
2019-09-01,86
2019-09-08,89
2019-09-15,88
2019-09-22,93
2019-09-29,87
2019-10-06,88
2019-10-13,89
2019-10-20,89
2019-10-27,87
2019-11-03,85
2019-11-10,90
2019-11-17,96
2019-11-24,91
2019-12-01,89
2019-12-08,95
2019-12-15,80
2019-12-22,80
2019-12-29,74
2020-01-05,77
2020-01-12,75
2020-01-19,81
2020-01-26,73
2020-02-02,74
2020-02-09,74
2020-02-16,75
2020-02-23,79
2020-03-01,87
2020-03-08,85
