date,Game_IN
2020-03-15,24
2020-03-22,33
2020-03-29,33
2020-04-05,32
2020-04-12,31
2020-04-19,32
2020-04-26,85
2020-05-03,100
2020-05-10,31
2020-05-17,28
2020-05-24,28
2020-05-31,26
2020-06-07,26
2020-06-14,26
2020-06-21,26
2020-06-28,28
2020-07-05,25
2020-07-12,25
2020-07-19,24
2020-07-26,25
2020-08-02,24
2020-08-09,23
2020-08-16,23
2020-08-23,24
2020-08-30,27
2020-09-06,27
2020-09-13,23
2020-09-20,22
2020-09-27,21
2020-10-04,20
2020-10-11,20
2020-10-18,20
2020-10-25,20
2020-11-01,20
2020-11-08,21
2020-11-15,22
2020-11-22,20
2020-11-29,20
2020-12-06,20
2020-12-13,19
2020-12-20,20
2020-12-27,18
2021-01-03,18
2021-01-10,19
2021-01-17,19
2021-01-24,21
2021-01-31,18
2021-02-07,18
2021-02-14,18
2021-02-21,18
2021-02-28,18
2021-03-07,19
2021-03-14,17
2021-03-21,17
2021-03-28,18
2021-04-04,18
2021-04-11,18
2021-04-18,19
2021-04-25,19
2021-05-02,21
2021-05-09,24
2021-05-16,23
2021-05-23,23
2021-05-30,21
2021-06-06,21
2021-06-13,20
2021-06-20,18
2021-06-27,19
2021-07-04,19
2021-07-11,18
2021-07-18,18
2021-07-25,20
2021-08-01,21
2021-08-08,20
2021-08-15,19
2021-08-22,18
2021-08-29,18
