date,Learning_IN
2018-01-07,90
2018-01-14,90
2018-01-21,83
2018-01-28,89
2018-02-04,89
2018-02-11,85
2018-02-18,91
2018-02-25,85
2018-03-04,89
2018-03-11,93
2018-03-18,90
2018-03-25,85
2018-04-01,90
2018-04-08,88
2018-04-15,87
2018-04-22,84
2018-04-29,81
2018-05-06,78
2018-05-13,81
2018-05-20,84
2018-05-27,89
2018-06-03,87
2018-06-10,84
2018-06-17,84
2018-06-24,85
2018-07-01,83
2018-07-08,90
2018-07-15,91
2018-07-22,90
2018-07-29,89
2018-08-05,86
2018-08-12,79
2018-08-19,80
2018-08-26,81
2018-09-02,78
2018-09-09,75
2018-09-16,77
2018-09-23,83
2018-09-30,81
2018-10-07,80
2018-10-14,72
2018-10-21,73
2018-10-28,65
2018-11-04,58
2018-11-11,70
2018-11-18,84
2018-11-25,80
2018-12-02,79
2018-12-09,78
2018-12-16,79
2018-12-23,72
2018-12-30,71
2019-01-06,80
2019-01-13,72
2019-01-20,75
2019-01-27,80
2019-02-03,76
2019-02-10,70
2019-02-17,74
2019-02-24,74
2019-03-03,74
2019-03-10,75
2019-03-17,72
2019-03-24,74
2019-03-31,75
2019-04-07,73
2019-04-14,66
2019-04-21,67
2019-04-28,70
2019-05-05,82
2019-05-12,78
2019-05-19,75
2019-05-26,77
2019-06-02,76
2019-06-09,79
2019-06-16,78
2019-06-23,84
2019-06-30,75
2019-07-07,83
2019-07-14,82
2019-07-21,86
2019-07-28,85
2019-08-04,79
2019-08-11,72
2019-08-18,85
2019-08-25,89
2019-09-01,86
2019-09-08,87
2019-09-15,100
2019-09-22,89
2019-09-29,78
2019-10-06,73
2019-10-13,77
2019-10-20,67
2019-10-27,70
2019-11-03,76
2019-11-10,78
2019-11-17,88
2019-11-24,90
2019-12-01,85
2019-12-08,86
2019-12-15,84
2019-12-22,69
2019-12-29,74
2020-01-05,89
2020-01-12,77
2020-01-19,86
2020-01-26,81
2020-02-02,80
2020-02-09,86
2020-02-16,89
2020-02-23,90
2020-03-01,86
2020-03-08,75
