date,Performing_Art_IN
2018-01-07,32
2018-01-14,26
2018-01-21,32
2018-01-28,50
2018-02-04,25
2018-02-11,68
2018-02-18,86
2018-02-25,25
2018-03-04,54
2018-03-11,47
2018-03-18,41
2018-03-25,54
2018-04-01,30
2018-04-08,52
2018-04-15,76
2018-04-22,46
2018-04-29,45
2018-05-06,50
2018-05-13,44
2018-05-20,38
2018-05-27,21
2018-06-03,65
2018-06-10,41
2018-06-17,37
2018-06-24,31
2018-07-01,62
2018-07-08,41
2018-07-15,32
2018-07-22,52
2018-07-29,45
2018-08-05,53
2018-08-12,53
2018-08-19,64
2018-08-26,33
2018-09-02,75
2018-09-09,28
2018-09-16,32
2018-09-23,59
2018-09-30,56
2018-10-07,45
2018-10-14,29
2018-10-21,53
2018-10-28,56
2018-11-04,39
2018-11-11,55
2018-11-18,88
2018-11-25,42
2018-12-02,62
2018-12-09,84
2018-12-16,47
2018-12-23,39
2018-12-30,29
2019-01-06,71
2019-01-13,49
2019-01-20,70
2019-01-27,33
2019-02-03,37
2019-02-10,18
2019-02-17,23
2019-02-24,37
2019-03-03,42
2019-03-10,42
2019-03-17,76
2019-03-24,68
2019-03-31,32
2019-04-07,42
2019-04-14,48
2019-04-21,43
2019-04-28,65
2019-05-05,42
2019-05-12,34
2019-05-19,54
2019-05-26,84
2019-06-02,58
2019-06-09,32
2019-06-16,49
2019-06-23,35
2019-06-30,61
2019-07-07,50
2019-07-14,60
2019-07-21,52
2019-07-28,47
2019-08-04,14
2019-08-11,39
2019-08-18,71
2019-08-25,47
2019-09-01,58
2019-09-08,75
2019-09-15,51
2019-09-22,41
2019-09-29,42
2019-10-06,67
2019-10-13,46
2019-10-20,36
2019-10-27,62
2019-11-03,31
2019-11-10,64
2019-11-17,76
2019-11-24,57
2019-12-01,69
2019-12-08,30
2019-12-15,44
2019-12-22,34
2019-12-29,49
2020-01-05,75
2020-01-12,59
2020-01-19,84
2020-01-26,56
2020-02-02,55
2020-02-09,37
2020-02-16,65
2020-02-23,41
2020-03-01,100
2020-03-08,37
