date,Sports_IN
2018-01-07,41
2018-01-14,41
2018-01-21,41
2018-01-28,47
2018-02-04,48
2018-02-11,44
2018-02-18,47
2018-02-25,34
2018-03-04,53
2018-03-11,49
2018-03-18,45
2018-03-25,33
2018-04-01,55
2018-04-08,66
2018-04-15,48
2018-04-22,43
2018-04-29,40
2018-05-06,37
2018-05-13,39
2018-05-20,38
2018-05-27,36
2018-06-03,32
2018-06-10,51
2018-06-17,77
2018-06-24,63
2018-07-01,41
2018-07-08,54
2018-07-15,49
2018-07-22,34
2018-07-29,37
2018-08-05,36
2018-08-12,33
2018-08-19,36
2018-08-26,41
2018-09-02,36
2018-09-09,36
2018-09-16,61
2018-09-23,59
2018-09-30,45
2018-10-07,46
2018-10-14,39
2018-10-21,52
2018-10-28,45
2018-11-04,39
2018-11-11,41
2018-11-18,42
2018-11-25,40
2018-12-02,39
2018-12-09,40
2018-12-16,43
2018-12-23,39
2018-12-30,41
2019-01-06,44
2019-01-13,50
2019-01-20,53
2019-01-27,47
2019-02-03,54
2019-02-10,46
2019-02-17,40
2019-02-24,56
2019-03-03,53
2019-03-10,55
2019-03-17,51
2019-03-24,66
2019-03-31,54
2019-04-07,48
2019-04-14,48
2019-04-21,44
2019-04-28,46
2019-05-05,47
2019-05-12,43
2019-05-19,37
2019-05-26,50
2019-06-02,61
2019-06-09,66
2019-06-16,83
2019-06-23,70
2019-06-30,85
2019-07-07,80
2019-07-14,49
2019-07-21,41
2019-07-28,44
2019-08-04,48
2019-08-11,43
2019-08-18,44
2019-08-25,55
2019-09-01,42
2019-09-08,42
2019-09-15,45
2019-09-22,43
2019-09-29,61
2019-10-06,76
2019-10-13,65
2019-10-20,67
2019-10-27,61
2019-11-03,77
2019-11-10,77
2019-11-17,72
2019-11-24,66
2019-12-01,69
2019-12-08,80
2019-12-15,84
2019-12-22,71
2019-12-29,55
2020-01-05,81
2020-01-12,94
2020-01-19,95
2020-01-26,100
2020-02-02,98
2020-02-09,75
2020-02-16,72
2020-02-23,73
2020-03-01,71
2020-03-08,69
