date,Performing_Art_IE
2018-01-07,0
2018-01-14,26
2018-01-21,0
2018-01-28,53
2018-02-04,0
2018-02-11,54
2018-02-18,0
2018-02-25,25
2018-03-04,26
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,26
2018-04-08,52
2018-04-15,27
2018-04-22,0
2018-04-29,26
2018-05-06,27
2018-05-13,0
2018-05-20,27
2018-05-27,0
2018-06-03,28
2018-06-10,26
2018-06-17,0
2018-06-24,29
2018-07-01,27
2018-07-08,27
2018-07-15,27
2018-07-22,0
2018-07-29,26
2018-08-05,81
2018-08-12,52
2018-08-19,80
2018-08-26,27
2018-09-02,26
2018-09-09,53
2018-09-16,0
2018-09-23,54
2018-09-30,27
2018-10-07,78
2018-10-14,27
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,26
2018-11-18,25
2018-11-25,51
2018-12-02,27
2018-12-09,0
2018-12-16,86
2018-12-23,0
2018-12-30,56
2019-01-06,26
2019-01-13,76
2019-01-20,25
2019-01-27,50
2019-02-03,100
2019-02-10,25
2019-02-17,0
2019-02-24,25
2019-03-03,25
2019-03-10,50
2019-03-17,26
2019-03-24,79
2019-03-31,73
2019-04-07,52
2019-04-14,79
2019-04-21,26
2019-04-28,25
2019-05-05,26
2019-05-12,26
2019-05-19,26
2019-05-26,48
2019-06-02,26
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,26
2019-07-07,79
2019-07-14,26
2019-07-21,0
2019-07-28,27
2019-08-04,76
2019-08-11,25
2019-08-18,0
2019-08-25,25
2019-09-01,74
2019-09-08,25
2019-09-15,49
2019-09-22,23
2019-09-29,0
2019-10-06,24
2019-10-13,0
2019-10-20,24
2019-10-27,0
2019-11-03,69
2019-11-10,23
2019-11-17,45
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,25
2019-12-22,0
2019-12-29,0
2020-01-05,22
2020-01-12,43
2020-01-19,22
2020-01-26,0
2020-02-02,44
2020-02-09,22
2020-02-16,44
2020-02-23,21
2020-03-01,22
2020-03-08,21
