date,Collecting_IR
2020-03-15,25
2020-03-22,25
2020-03-29,48
2020-04-05,46
2020-04-12,68
2020-04-19,0
2020-04-26,0
2020-05-03,66
2020-05-10,22
2020-05-17,91
2020-05-24,24
2020-05-31,47
2020-06-07,46
2020-06-14,99
2020-06-21,0
2020-06-28,23
2020-07-05,0
2020-07-12,24
2020-07-19,47
2020-07-26,0
2020-08-02,72
2020-08-09,23
2020-08-16,24
2020-08-23,100
2020-08-30,0
2020-09-06,23
2020-09-13,0
2020-09-20,64
2020-09-27,42
2020-10-04,42
2020-10-11,0
2020-10-18,20
2020-10-25,84
2020-11-01,0
2020-11-08,59
2020-11-15,19
2020-11-22,19
2020-11-29,19
2020-12-06,57
2020-12-13,56
2020-12-20,19
2020-12-27,19
2021-01-03,19
2021-01-10,58
2021-01-17,20
2021-01-24,0
2021-01-31,19
2021-02-07,0
2021-02-14,38
2021-02-21,19
2021-02-28,0
2021-03-07,0
2021-03-14,63
2021-03-21,0
2021-03-28,0
2021-04-04,19
2021-04-11,18
2021-04-18,0
2021-04-25,18
2021-05-02,0
2021-05-09,0
2021-05-16,19
2021-05-23,0
2021-05-30,83
2021-06-06,82
2021-06-13,63
2021-06-20,21
2021-06-27,0
2021-07-04,43
2021-07-11,84
2021-07-18,66
2021-07-25,0
2021-08-01,40
2021-08-08,0
2021-08-15,0
2021-08-22,21
2021-08-29,42
