date,Game_IR
2018-01-07,37
2018-01-14,38
2018-01-21,37
2018-01-28,39
2018-02-04,41
2018-02-11,42
2018-02-18,44
2018-02-25,42
2018-03-04,45
2018-03-11,51
2018-03-18,55
2018-03-25,56
2018-04-01,54
2018-04-08,44
2018-04-15,43
2018-04-22,46
2018-04-29,44
2018-05-06,43
2018-05-13,50
2018-05-20,51
2018-05-27,56
2018-06-03,62
2018-06-10,87
2018-06-17,100
2018-06-24,81
2018-07-01,68
2018-07-08,64
2018-07-15,54
2018-07-22,54
2018-07-29,53
2018-08-05,52
2018-08-12,57
2018-08-19,59
2018-08-26,59
2018-09-02,47
2018-09-09,53
2018-09-16,61
2018-09-23,44
2018-09-30,41
2018-10-07,37
2018-10-14,38
2018-10-21,47
2018-10-28,53
2018-11-04,54
2018-11-11,38
2018-11-18,41
2018-11-25,41
2018-12-02,41
2018-12-09,42
2018-12-16,37
2018-12-23,38
2018-12-30,41
2019-01-06,51
2019-01-13,50
2019-01-20,59
2019-01-27,52
2019-02-03,47
2019-02-10,48
2019-02-17,45
2019-02-24,45
2019-03-03,47
2019-03-10,52
2019-03-17,49
2019-03-24,57
2019-03-31,55
2019-04-07,49
2019-04-14,52
2019-04-21,51
2019-04-28,50
2019-05-05,51
2019-05-12,44
2019-05-19,43
2019-05-26,52
2019-06-02,59
2019-06-09,53
2019-06-16,47
2019-06-23,47
2019-06-30,47
2019-07-07,51
2019-07-14,47
2019-07-21,47
2019-07-28,43
2019-08-04,45
2019-08-11,46
2019-08-18,47
2019-08-25,49
2019-09-01,44
2019-09-08,50
2019-09-15,48
2019-09-22,45
2019-09-29,45
2019-10-06,43
2019-10-13,46
2019-10-20,45
2019-10-27,47
2019-11-03,47
2019-11-10,43
2019-11-17,33
2019-11-24,46
2019-12-01,43
2019-12-08,46
2019-12-15,43
2019-12-22,43
2019-12-29,36
2020-01-05,40
2020-01-12,38
2020-01-19,41
2020-01-26,50
2020-02-02,44
2020-02-09,46
2020-02-16,46
2020-02-23,54
2020-03-01,53
2020-03-08,56
