date,Music_IR
2018-01-07,60
2018-01-14,60
2018-01-21,60
2018-01-28,58
2018-02-04,61
2018-02-11,61
2018-02-18,57
2018-02-25,60
2018-03-04,67
2018-03-11,73
2018-03-18,82
2018-03-25,77
2018-04-01,61
2018-04-08,61
2018-04-15,62
2018-04-22,62
2018-04-29,65
2018-05-06,62
2018-05-13,62
2018-05-20,63
2018-05-27,65
2018-06-03,58
2018-06-10,66
2018-06-17,63
2018-06-24,68
2018-07-01,67
2018-07-08,72
2018-07-15,74
2018-07-22,73
2018-07-29,70
2018-08-05,75
2018-08-12,79
2018-08-19,78
2018-08-26,78
2018-09-02,73
2018-09-09,56
2018-09-16,47
2018-09-23,55
2018-09-30,58
2018-10-07,65
2018-10-14,65
2018-10-21,68
2018-10-28,66
2018-11-04,70
2018-11-11,75
2018-11-18,79
2018-11-25,75
2018-12-02,74
2018-12-09,75
2018-12-16,76
2018-12-23,73
2018-12-30,73
2019-01-06,72
2019-01-13,72
2019-01-20,67
2019-01-27,68
2019-02-03,71
2019-02-10,76
2019-02-17,73
2019-02-24,71
2019-03-03,75
2019-03-10,82
2019-03-17,100
2019-03-24,84
2019-03-31,81
2019-04-07,75
2019-04-14,80
2019-04-21,77
2019-04-28,82
2019-05-05,79
2019-05-12,84
2019-05-19,78
2019-05-26,73
2019-06-02,86
2019-06-09,83
2019-06-16,81
2019-06-23,89
2019-06-30,87
2019-07-07,88
2019-07-14,89
2019-07-21,92
2019-07-28,92
2019-08-04,91
2019-08-11,95
2019-08-18,93
2019-08-25,88
2019-09-01,65
2019-09-08,61
2019-09-15,76
2019-09-22,79
2019-09-29,75
2019-10-06,80
2019-10-13,81
2019-10-20,84
2019-10-27,85
2019-11-03,88
2019-11-10,84
2019-11-17,62
2019-11-24,95
2019-12-01,93
2019-12-08,92
2019-12-15,92
2019-12-22,86
2019-12-29,83
2020-01-05,74
2020-01-12,81
2020-01-19,85
2020-01-26,79
2020-02-02,87
2020-02-09,92
2020-02-16,89
2020-02-23,88
2020-03-01,100
2020-03-08,93
