date,Sports_IR
2020-03-15,43
2020-03-22,49
2020-03-29,50
2020-04-05,49
2020-04-12,46
2020-04-19,46
2020-04-26,44
2020-05-03,43
2020-05-10,39
2020-05-17,43
2020-05-24,41
2020-05-31,42
2020-06-07,45
2020-06-14,47
2020-06-21,53
2020-06-28,63
2020-07-05,62
2020-07-12,64
2020-07-19,65
2020-07-26,62
2020-08-02,63
2020-08-09,76
2020-08-16,72
2020-08-23,80
2020-08-30,77
2020-09-06,75
2020-09-13,79
2020-09-20,97
2020-09-27,100
2020-10-04,78
2020-10-11,77
2020-10-18,84
2020-10-25,80
2020-11-01,73
2020-11-08,74
2020-11-15,76
2020-11-22,77
2020-11-29,80
2020-12-06,83
2020-12-13,85
2020-12-20,71
2020-12-27,71
2021-01-03,78
2021-01-10,78
2021-01-17,81
2021-01-24,84
2021-01-31,78
2021-02-07,83
2021-02-14,78
2021-02-21,69
2021-02-28,81
2021-03-07,78
2021-03-14,68
2021-03-21,54
2021-03-28,61
2021-04-04,73
2021-04-11,91
2021-04-18,95
2021-04-25,96
2021-05-02,68
2021-05-09,76
2021-05-16,74
2021-05-23,69
2021-05-30,77
2021-06-06,84
2021-06-13,84
2021-06-20,87
2021-06-27,91
2021-07-04,87
2021-07-11,74
2021-07-18,73
2021-07-25,93
2021-08-01,86
2021-08-08,68
2021-08-15,62
2021-08-22,78
2021-08-29,80
