date,Performing_Art_IL
2018-01-07,0
2018-01-14,29
2018-01-21,29
2018-01-28,31
2018-02-04,0
2018-02-11,0
2018-02-18,30
2018-02-25,63
2018-03-04,0
2018-03-11,0
2018-03-18,31
2018-03-25,0
2018-04-01,33
2018-04-08,30
2018-04-15,31
2018-04-22,57
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,62
2018-05-27,60
2018-06-03,30
2018-06-10,87
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,58
2018-07-15,30
2018-07-22,0
2018-07-29,61
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,32
2018-09-02,0
2018-09-09,34
2018-09-16,0
2018-09-23,64
2018-09-30,0
2018-10-07,30
2018-10-14,60
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,29
2018-11-18,58
2018-11-25,0
2018-12-02,59
2018-12-09,0
2018-12-16,0
2018-12-23,30
2018-12-30,30
2019-01-06,30
2019-01-13,0
2019-01-20,30
2019-01-27,60
2019-02-03,0
2019-02-10,29
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,31
2019-03-24,0
2019-03-31,30
2019-04-07,0
2019-04-14,0
2019-04-21,64
2019-04-28,29
2019-05-05,0
2019-05-12,29
2019-05-19,0
2019-05-26,58
2019-06-02,0
2019-06-09,60
2019-06-16,0
2019-06-23,29
2019-06-30,29
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,29
2019-08-04,29
2019-08-11,86
2019-08-18,0
2019-08-25,58
2019-09-01,0
2019-09-08,28
2019-09-15,0
2019-09-22,28
2019-09-29,0
2019-10-06,30
2019-10-13,57
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,52
2019-12-01,78
2019-12-08,0
2019-12-15,0
2019-12-22,52
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,26
2020-02-02,0
2020-02-09,51
2020-02-16,100
2020-02-23,49
2020-03-01,0
2020-03-08,49
