date,Arts_IT
2020-03-15,72
2020-03-22,73
2020-03-29,79
2020-04-05,75
2020-04-12,80
2020-04-19,83
2020-04-26,88
2020-05-03,87
2020-05-10,86
2020-05-17,100
2020-05-24,96
2020-05-31,85
2020-06-07,73
2020-06-14,66
2020-06-21,63
2020-06-28,58
2020-07-05,61
2020-07-12,62
2020-07-19,58
2020-07-26,60
2020-08-02,58
2020-08-09,56
2020-08-16,55
2020-08-23,59
2020-08-30,73
2020-09-06,69
2020-09-13,69
2020-09-20,70
2020-09-27,73
2020-10-04,74
2020-10-11,69
2020-10-18,73
2020-10-25,72
2020-11-01,66
2020-11-08,69
2020-11-15,80
2020-11-22,73
2020-11-29,71
2020-12-06,71
2020-12-13,70
2020-12-20,59
2020-12-27,68
2021-01-03,63
2021-01-10,74
2021-01-17,79
2021-01-24,76
2021-01-31,72
2021-02-07,74
2021-02-14,75
2021-02-21,78
2021-02-28,67
2021-03-07,70
2021-03-14,76
2021-03-21,83
2021-03-28,70
2021-04-04,70
2021-04-11,80
2021-04-18,80
2021-04-25,85
2021-05-02,80
2021-05-09,79
2021-05-16,87
2021-05-23,80
2021-05-30,78
2021-06-06,79
2021-06-13,72
2021-06-20,68
2021-06-27,58
2021-07-04,57
2021-07-11,55
2021-07-18,61
2021-07-25,68
2021-08-01,58
2021-08-08,56
2021-08-15,59
2021-08-22,59
2021-08-29,64
