date,Collecting_IT
2018-01-07,45
2018-01-14,35
2018-01-21,35
2018-01-28,41
2018-02-04,37
2018-02-11,31
2018-02-18,30
2018-02-25,34
2018-03-04,33
2018-03-11,39
2018-03-18,30
2018-03-25,25
2018-04-01,36
2018-04-08,33
2018-04-15,29
2018-04-22,39
2018-04-29,49
2018-05-06,30
2018-05-13,32
2018-05-20,27
2018-05-27,29
2018-06-03,22
2018-06-10,35
2018-06-17,26
2018-06-24,28
2018-07-01,30
2018-07-08,30
2018-07-15,31
2018-07-22,31
2018-07-29,33
2018-08-05,33
2018-08-12,25
2018-08-19,45
2018-08-26,40
2018-09-02,39
2018-09-09,32
2018-09-16,31
2018-09-23,42
2018-09-30,42
2018-10-07,24
2018-10-14,27
2018-10-21,34
2018-10-28,34
2018-11-04,35
2018-11-11,38
2018-11-18,35
2018-11-25,33
2018-12-02,32
2018-12-09,41
2018-12-16,30
2018-12-23,39
2018-12-30,42
2019-01-06,34
2019-01-13,35
2019-01-20,32
2019-01-27,16
2019-02-03,15
2019-02-10,9
2019-02-17,14
2019-02-24,15
2019-03-03,13
2019-03-10,16
2019-03-17,17
2019-03-24,12
2019-03-31,28
2019-04-07,32
2019-04-14,32
2019-04-21,26
2019-04-28,34
2019-05-05,22
2019-05-12,29
2019-05-19,24
2019-05-26,26
2019-06-02,28
2019-06-09,25
2019-06-16,33
2019-06-23,22
2019-06-30,23
2019-07-07,29
2019-07-14,31
2019-07-21,18
2019-07-28,42
2019-08-04,31
2019-08-11,30
2019-08-18,28
2019-08-25,30
2019-09-01,32
2019-09-08,29
2019-09-15,29
2019-09-22,30
2019-09-29,35
2019-10-06,31
2019-10-13,33
2019-10-20,37
2019-10-27,42
2019-11-03,36
2019-11-10,38
2019-11-17,41
2019-11-24,30
2019-12-01,40
2019-12-08,39
2019-12-15,35
2019-12-22,46
2019-12-29,56
2020-01-05,42
2020-01-12,43
2020-01-19,32
2020-01-26,30
2020-02-02,36
2020-02-09,100
2020-02-16,48
2020-02-23,27
2020-03-01,30
2020-03-08,26
