date,Cooking_IT
2018-01-07,56
2018-01-14,56
2018-01-21,52
2018-01-28,54
2018-02-04,51
2018-02-11,57
2018-02-18,62
2018-02-25,58
2018-03-04,52
2018-03-11,53
2018-03-18,55
2018-03-25,64
2018-04-01,52
2018-04-08,53
2018-04-15,51
2018-04-22,52
2018-04-29,50
2018-05-06,52
2018-05-13,50
2018-05-20,46
2018-05-27,46
2018-06-03,47
2018-06-10,45
2018-06-17,40
2018-06-24,48
2018-07-01,49
2018-07-08,49
2018-07-15,47
2018-07-22,42
2018-07-29,42
2018-08-05,45
2018-08-12,46
2018-08-19,48
2018-08-26,47
2018-09-02,52
2018-09-09,49
2018-09-16,46
2018-09-23,54
2018-09-30,51
2018-10-07,59
2018-10-14,56
2018-10-21,60
2018-10-28,65
2018-11-04,53
2018-11-11,56
2018-11-18,58
2018-11-25,54
2018-12-02,54
2018-12-09,48
2018-12-16,59
2018-12-23,85
2018-12-30,83
2019-01-06,57
2019-01-13,58
2019-01-20,58
2019-01-27,52
2019-02-03,45
2019-02-10,43
2019-02-17,49
2019-02-24,45
2019-03-03,44
2019-03-10,46
2019-03-17,48
2019-03-24,53
2019-03-31,54
2019-04-07,58
2019-04-14,70
2019-04-21,62
2019-04-28,56
2019-05-05,59
2019-05-12,56
2019-05-19,51
2019-05-26,47
2019-06-02,48
2019-06-09,46
2019-06-16,48
2019-06-23,44
2019-06-30,41
2019-07-07,42
2019-07-14,43
2019-07-21,47
2019-07-28,48
2019-08-04,46
2019-08-11,54
2019-08-18,47
2019-08-25,48
2019-09-01,48
2019-09-08,50
2019-09-15,51
2019-09-22,54
2019-09-29,52
2019-10-06,57
2019-10-13,63
2019-10-20,62
2019-10-27,62
2019-11-03,64
2019-11-10,61
2019-11-17,66
2019-11-24,62
2019-12-01,59
2019-12-08,60
2019-12-15,59
2019-12-22,100
2019-12-29,81
2020-01-05,62
2020-01-12,66
2020-01-19,62
2020-01-26,60
2020-02-02,57
2020-02-09,59
2020-02-16,58
2020-02-23,53
2020-03-01,63
2020-03-08,61
