date,Crafts_IT
2020-03-15,100
2020-03-22,94
2020-03-29,66
2020-04-05,70
2020-04-12,64
2020-04-19,73
2020-04-26,58
2020-05-03,42
2020-05-10,51
2020-05-17,40
2020-05-24,32
2020-05-31,37
2020-06-07,33
2020-06-14,42
2020-06-21,36
2020-06-28,33
2020-07-05,31
2020-07-12,34
2020-07-19,42
2020-07-26,33
2020-08-02,44
2020-08-09,36
2020-08-16,23
2020-08-23,29
2020-08-30,28
2020-09-06,32
2020-09-13,36
2020-09-20,26
2020-09-27,32
2020-10-04,28
2020-10-11,35
2020-10-18,30
2020-10-25,38
2020-11-01,49
2020-11-08,41
2020-11-15,42
2020-11-22,40
2020-11-29,39
2020-12-06,45
2020-12-13,42
2020-12-20,84
2020-12-27,76
2021-01-03,49
2021-01-10,47
2021-01-17,52
2021-01-24,38
2021-01-31,57
2021-02-07,64
2021-02-14,44
2021-02-21,42
2021-02-28,44
2021-03-07,42
2021-03-14,55
2021-03-21,52
2021-03-28,52
2021-04-04,49
2021-04-11,37
2021-04-18,43
2021-04-25,41
2021-05-02,41
2021-05-09,39
2021-05-16,41
2021-05-23,43
2021-05-30,41
2021-06-06,37
2021-06-13,31
2021-06-20,35
2021-06-27,22
2021-07-04,40
2021-07-11,25
2021-07-18,24
2021-07-25,33
2021-08-01,27
2021-08-08,27
2021-08-15,32
2021-08-22,32
2021-08-29,46
