date,Learning_IT
2018-01-07,58
2018-01-14,61
2018-01-21,60
2018-01-28,57
2018-02-04,59
2018-02-11,61
2018-02-18,74
2018-02-25,75
2018-03-04,63
2018-03-11,55
2018-03-18,60
2018-03-25,52
2018-04-01,71
2018-04-08,57
2018-04-15,63
2018-04-22,62
2018-04-29,47
2018-05-06,58
2018-05-13,56
2018-05-20,58
2018-05-27,51
2018-06-03,60
2018-06-10,52
2018-06-17,65
2018-06-24,56
2018-07-01,59
2018-07-08,57
2018-07-15,46
2018-07-22,58
2018-07-29,58
2018-08-05,40
2018-08-12,35
2018-08-19,45
2018-08-26,51
2018-09-02,56
2018-09-09,71
2018-09-16,48
2018-09-23,61
2018-09-30,57
2018-10-07,65
2018-10-14,69
2018-10-21,69
2018-10-28,49
2018-11-04,54
2018-11-11,61
2018-11-18,54
2018-11-25,67
2018-12-02,68
2018-12-09,60
2018-12-16,54
2018-12-23,44
2018-12-30,42
2019-01-06,66
2019-01-13,62
2019-01-20,71
2019-01-27,75
2019-02-03,85
2019-02-10,87
2019-02-17,100
2019-02-24,82
2019-03-03,80
2019-03-10,81
2019-03-17,70
2019-03-24,94
2019-03-31,77
2019-04-07,69
2019-04-14,62
2019-04-21,54
2019-04-28,61
2019-05-05,58
2019-05-12,62
2019-05-19,65
2019-05-26,57
2019-06-02,74
2019-06-09,61
2019-06-16,83
2019-06-23,63
2019-06-30,63
2019-07-07,62
2019-07-14,65
2019-07-21,56
2019-07-28,45
2019-08-04,54
2019-08-11,31
2019-08-18,39
2019-08-25,44
2019-09-01,53
2019-09-08,59
2019-09-15,69
2019-09-22,66
2019-09-29,68
2019-10-06,81
2019-10-13,75
2019-10-20,63
2019-10-27,66
2019-11-03,66
2019-11-10,65
2019-11-17,77
2019-11-24,67
2019-12-01,66
2019-12-08,72
2019-12-15,51
2019-12-22,52
2019-12-29,45
2020-01-05,61
2020-01-12,60
2020-01-19,59
2020-01-26,56
2020-02-02,64
2020-02-09,75
2020-02-16,72
2020-02-23,60
2020-03-01,71
2020-03-08,76
