date,Pets_IT
2018-01-07,35
2018-01-14,34
2018-01-21,33
2018-01-28,33
2018-02-04,30
2018-02-11,39
2018-02-18,38
2018-02-25,34
2018-03-04,34
2018-03-11,30
2018-03-18,35
2018-03-25,35
2018-04-01,30
2018-04-08,28
2018-04-15,28
2018-04-22,30
2018-04-29,35
2018-05-06,29
2018-05-13,30
2018-05-20,27
2018-05-27,26
2018-06-03,30
2018-06-10,31
2018-06-17,34
2018-06-24,30
2018-07-01,35
2018-07-08,35
2018-07-15,35
2018-07-22,37
2018-07-29,33
2018-08-05,39
2018-08-12,34
2018-08-19,35
2018-08-26,33
2018-09-02,39
2018-09-09,36
2018-09-16,36
2018-09-23,31
2018-09-30,35
2018-10-07,34
2018-10-14,36
2018-10-21,29
2018-10-28,37
2018-11-04,31
2018-11-11,37
2018-11-18,37
2018-11-25,36
2018-12-02,35
2018-12-09,34
2018-12-16,38
2018-12-23,30
2018-12-30,40
2019-01-06,36
2019-01-13,34
2019-01-20,35
2019-01-27,94
2019-02-03,91
2019-02-10,90
2019-02-17,98
2019-02-24,100
2019-03-03,95
2019-03-10,90
2019-03-17,94
2019-03-24,88
2019-03-31,46
2019-04-07,32
2019-04-14,41
2019-04-21,37
2019-04-28,36
2019-05-05,34
2019-05-12,32
2019-05-19,35
2019-05-26,39
2019-06-02,30
2019-06-09,34
2019-06-16,38
2019-06-23,42
2019-06-30,42
2019-07-07,30
2019-07-14,43
2019-07-21,44
2019-07-28,45
2019-08-04,33
2019-08-11,40
2019-08-18,36
2019-08-25,34
2019-09-01,35
2019-09-08,40
2019-09-15,34
2019-09-22,31
2019-09-29,41
2019-10-06,40
2019-10-13,33
2019-10-20,33
2019-10-27,27
2019-11-03,34
2019-11-10,38
2019-11-17,36
2019-11-24,40
2019-12-01,38
2019-12-08,42
2019-12-15,38
2019-12-22,41
2019-12-29,44
2020-01-05,37
2020-01-12,42
2020-01-19,32
2020-01-26,33
2020-02-02,30
2020-02-09,37
2020-02-16,39
2020-02-23,32
2020-03-01,36
2020-03-08,32
