date,Collecting_KR
2020-03-15,47
2020-03-22,57
2020-03-29,52
2020-04-05,51
2020-04-12,26
2020-04-19,49
2020-04-26,86
2020-05-03,41
2020-05-10,54
2020-05-17,55
2020-05-24,60
2020-05-31,20
2020-06-07,50
2020-06-14,30
2020-06-21,31
2020-06-28,46
2020-07-05,61
2020-07-12,37
2020-07-19,67
2020-07-26,84
2020-08-02,52
2020-08-09,78
2020-08-16,42
2020-08-23,58
2020-08-30,46
2020-09-06,41
2020-09-13,53
2020-09-20,55
2020-09-27,65
2020-10-04,61
2020-10-11,34
2020-10-18,70
2020-10-25,35
2020-11-01,100
2020-11-08,64
2020-11-15,51
2020-11-22,45
2020-11-29,83
2020-12-06,38
2020-12-13,47
2020-12-20,56
2020-12-27,55
2021-01-03,59
2021-01-10,65
2021-01-17,27
2021-01-24,60
2021-01-31,44
2021-02-07,89
2021-02-14,38
2021-02-21,44
2021-02-28,53
2021-03-07,86
2021-03-14,76
2021-03-21,80
2021-03-28,55
2021-04-04,74
2021-04-11,50
2021-04-18,76
2021-04-25,74
2021-05-02,52
2021-05-09,79
2021-05-16,85
2021-05-23,99
2021-05-30,50
2021-06-06,44
2021-06-13,44
2021-06-20,36
2021-06-27,84
2021-07-04,41
2021-07-11,53
2021-07-18,70
2021-07-25,61
2021-08-01,98
2021-08-08,82
2021-08-15,66
2021-08-22,51
2021-08-29,51
