date,Game_KR
2018-01-07,96
2018-01-14,93
2018-01-21,85
2018-01-28,90
2018-02-04,91
2018-02-11,98
2018-02-18,88
2018-02-25,87
2018-03-04,83
2018-03-11,82
2018-03-18,86
2018-03-25,80
2018-04-01,86
2018-04-08,84
2018-04-15,78
2018-04-22,80
2018-04-29,81
2018-05-06,76
2018-05-13,78
2018-05-20,79
2018-05-27,88
2018-06-03,87
2018-06-10,86
2018-06-17,89
2018-06-24,79
2018-07-01,87
2018-07-08,88
2018-07-15,83
2018-07-22,78
2018-07-29,88
2018-08-05,84
2018-08-12,88
2018-08-19,78
2018-08-26,84
2018-09-02,83
2018-09-09,87
2018-09-16,86
2018-09-23,99
2018-09-30,81
2018-10-07,87
2018-10-14,78
2018-10-21,86
2018-10-28,88
2018-11-04,86
2018-11-11,85
2018-11-18,87
2018-11-25,85
2018-12-02,83
2018-12-09,79
2018-12-16,85
2018-12-23,88
2018-12-30,89
2019-01-06,87
2019-01-13,87
2019-01-20,91
2019-01-27,37
2019-02-03,23
2019-02-10,20
2019-02-17,22
2019-02-24,21
2019-03-03,23
2019-03-10,20
2019-03-17,22
2019-03-24,23
2019-03-31,75
2019-04-07,84
2019-04-14,87
2019-04-21,91
2019-04-28,90
2019-05-05,93
2019-05-12,86
2019-05-19,86
2019-05-26,100
2019-06-02,92
2019-06-09,83
2019-06-16,81
2019-06-23,83
2019-06-30,80
2019-07-07,89
2019-07-14,79
2019-07-21,81
2019-07-28,85
2019-08-04,81
2019-08-11,79
2019-08-18,86
2019-08-25,88
2019-09-01,84
2019-09-08,95
2019-09-15,78
2019-09-22,82
2019-09-29,91
2019-10-06,84
2019-10-13,83
2019-10-20,80
2019-10-27,86
2019-11-03,87
2019-11-10,88
2019-11-17,88
2019-11-24,89
2019-12-01,85
2019-12-08,89
2019-12-15,89
2019-12-22,94
2019-12-29,95
2020-01-05,89
2020-01-12,89
2020-01-19,94
2020-01-26,86
2020-02-02,89
2020-02-09,89
2020-02-16,99
2020-02-23,99
2020-03-01,98
2020-03-08,92
