date,Learning_KR
2018-01-07,63
2018-01-14,55
2018-01-21,63
2018-01-28,68
2018-02-04,53
2018-02-11,46
2018-02-18,51
2018-02-25,59
2018-03-04,68
2018-03-11,79
2018-03-18,72
2018-03-25,64
2018-04-01,76
2018-04-08,74
2018-04-15,65
2018-04-22,53
2018-04-29,62
2018-05-06,52
2018-05-13,62
2018-05-20,55
2018-05-27,68
2018-06-03,65
2018-06-10,63
2018-06-17,58
2018-06-24,60
2018-07-01,69
2018-07-08,61
2018-07-15,64
2018-07-22,65
2018-07-29,80
2018-08-05,61
2018-08-12,47
2018-08-19,66
2018-08-26,66
2018-09-02,73
2018-09-09,76
2018-09-16,69
2018-09-23,51
2018-09-30,60
2018-10-07,58
2018-10-14,57
2018-10-21,65
2018-10-28,64
2018-11-04,65
2018-11-11,73
2018-11-18,62
2018-11-25,65
2018-12-02,67
2018-12-09,80
2018-12-16,62
2018-12-23,51
2018-12-30,49
2019-01-06,48
2019-01-13,56
2019-01-20,53
2019-01-27,43
2019-02-03,28
2019-02-10,51
2019-02-17,48
2019-02-24,41
2019-03-03,56
2019-03-10,44
2019-03-17,51
2019-03-24,61
2019-03-31,72
2019-04-07,73
2019-04-14,62
2019-04-21,65
2019-04-28,66
2019-05-05,59
2019-05-12,70
2019-05-19,82
2019-05-26,59
2019-06-02,78
2019-06-09,80
2019-06-16,70
2019-06-23,73
2019-06-30,61
2019-07-07,73
2019-07-14,77
2019-07-21,67
2019-07-28,61
2019-08-04,72
2019-08-11,70
2019-08-18,60
2019-08-25,68
2019-09-01,72
2019-09-08,59
2019-09-15,78
2019-09-22,80
2019-09-29,76
2019-10-06,99
2019-10-13,91
2019-10-20,76
2019-10-27,74
2019-11-03,100
2019-11-10,75
2019-11-17,79
2019-11-24,98
2019-12-01,88
2019-12-08,62
2019-12-15,76
2019-12-22,70
2019-12-29,55
2020-01-05,83
2020-01-12,79
2020-01-19,55
2020-01-26,67
2020-02-02,71
2020-02-09,80
2020-02-16,67
2020-02-23,56
2020-03-01,73
2020-03-08,82
