date,Pets_KR
2018-01-07,42
2018-01-14,55
2018-01-21,72
2018-01-28,48
2018-02-04,43
2018-02-11,47
2018-02-18,56
2018-02-25,55
2018-03-04,51
2018-03-11,64
2018-03-18,70
2018-03-25,56
2018-04-01,56
2018-04-08,51
2018-04-15,56
2018-04-22,59
2018-04-29,36
2018-05-06,51
2018-05-13,38
2018-05-20,48
2018-05-27,35
2018-06-03,73
2018-06-10,71
2018-06-17,64
2018-06-24,63
2018-07-01,46
2018-07-08,50
2018-07-15,70
2018-07-22,55
2018-07-29,50
2018-08-05,45
2018-08-12,37
2018-08-19,60
2018-08-26,82
2018-09-02,69
2018-09-09,58
2018-09-16,38
2018-09-23,59
2018-09-30,56
2018-10-07,58
2018-10-14,61
2018-10-21,59
2018-10-28,55
2018-11-04,66
2018-11-11,56
2018-11-18,53
2018-11-25,60
2018-12-02,63
2018-12-09,37
2018-12-16,52
2018-12-23,49
2018-12-30,100
2019-01-06,61
2019-01-13,43
2019-01-20,54
2019-01-27,76
2019-02-03,44
2019-02-10,49
2019-02-17,69
2019-02-24,58
2019-03-03,45
2019-03-10,61
2019-03-17,69
2019-03-24,75
2019-03-31,55
2019-04-07,52
2019-04-14,59
2019-04-21,59
2019-04-28,66
2019-05-05,99
2019-05-12,58
2019-05-19,60
2019-05-26,47
2019-06-02,72
2019-06-09,64
2019-06-16,79
2019-06-23,66
2019-06-30,97
2019-07-07,53
2019-07-14,67
2019-07-21,60
2019-07-28,60
2019-08-04,56
2019-08-11,68
2019-08-18,40
2019-08-25,73
2019-09-01,59
2019-09-08,87
2019-09-15,57
2019-09-22,53
2019-09-29,74
2019-10-06,77
2019-10-13,79
2019-10-20,77
2019-10-27,58
2019-11-03,63
2019-11-10,63
2019-11-17,68
2019-11-24,79
2019-12-01,90
2019-12-08,65
2019-12-15,69
2019-12-22,51
2019-12-29,53
2020-01-05,81
2020-01-12,87
2020-01-19,67
2020-01-26,58
2020-02-02,69
2020-02-09,62
2020-02-16,49
2020-02-23,53
2020-03-01,43
2020-03-08,67
