date,Sports_KR
2020-03-15,32
2020-03-22,35
2020-03-29,33
2020-04-05,32
2020-04-12,34
2020-04-19,33
2020-04-26,37
2020-05-03,43
2020-05-10,54
2020-05-17,49
2020-05-24,53
2020-05-31,55
2020-06-07,59
2020-06-14,65
2020-06-21,68
2020-06-28,68
2020-07-05,67
2020-07-12,71
2020-07-19,65
2020-07-26,74
2020-08-02,71
2020-08-09,77
2020-08-16,76
2020-08-23,71
2020-08-30,68
2020-09-06,72
2020-09-13,81
2020-09-20,88
2020-09-27,98
2020-10-04,92
2020-10-11,80
2020-10-18,96
2020-10-25,86
2020-11-01,73
2020-11-08,69
2020-11-15,71
2020-11-22,69
2020-11-29,70
2020-12-06,70
2020-12-13,72
2020-12-20,77
2020-12-27,70
2021-01-03,68
2021-01-10,65
2021-01-17,65
2021-01-24,70
2021-01-31,70
2021-02-07,76
2021-02-14,67
2021-02-21,68
2021-02-28,67
2021-03-07,66
2021-03-14,70
2021-03-21,71
2021-03-28,71
2021-04-04,92
2021-04-11,100
2021-04-18,88
2021-04-25,86
2021-05-02,84
2021-05-09,77
2021-05-16,85
2021-05-23,91
2021-05-30,80
2021-06-06,86
2021-06-13,92
2021-06-20,89
2021-06-27,84
2021-07-04,72
2021-07-11,68
2021-07-18,72
2021-07-25,93
2021-08-01,91
2021-08-08,72
2021-08-15,84
2021-08-22,87
2021-08-29,85
