date,Cooking_MX
2018-01-07,51
2018-01-14,56
2018-01-21,54
2018-01-28,59
2018-02-04,54
2018-02-11,52
2018-02-18,52
2018-02-25,48
2018-03-04,49
2018-03-11,44
2018-03-18,42
2018-03-25,48
2018-04-01,49
2018-04-08,45
2018-04-15,46
2018-04-22,46
2018-04-29,43
2018-05-06,44
2018-05-13,42
2018-05-20,44
2018-05-27,39
2018-06-03,43
2018-06-10,43
2018-06-17,38
2018-06-24,44
2018-07-01,36
2018-07-08,44
2018-07-15,47
2018-07-22,42
2018-07-29,48
2018-08-05,45
2018-08-12,45
2018-08-19,49
2018-08-26,41
2018-09-02,47
2018-09-09,50
2018-09-16,37
2018-09-23,51
2018-09-30,44
2018-10-07,45
2018-10-14,45
2018-10-21,43
2018-10-28,40
2018-11-04,43
2018-11-11,39
2018-11-18,46
2018-11-25,47
2018-12-02,41
2018-12-09,39
2018-12-16,57
2018-12-23,94
2018-12-30,69
2019-01-06,59
2019-01-13,50
2019-01-20,56
2019-01-27,66
2019-02-03,53
2019-02-10,55
2019-02-17,51
2019-02-24,43
2019-03-03,54
2019-03-10,49
2019-03-17,54
2019-03-24,54
2019-03-31,43
2019-04-07,42
2019-04-14,56
2019-04-21,55
2019-04-28,46
2019-05-05,51
2019-05-12,44
2019-05-19,43
2019-05-26,51
2019-06-02,46
2019-06-09,42
2019-06-16,43
2019-06-23,47
2019-06-30,48
2019-07-07,48
2019-07-14,51
2019-07-21,46
2019-07-28,45
2019-08-04,55
2019-08-11,53
2019-08-18,52
2019-08-25,45
2019-09-01,48
2019-09-08,45
2019-09-15,51
2019-09-22,46
2019-09-29,41
2019-10-06,48
2019-10-13,42
2019-10-20,49
2019-10-27,36
2019-11-03,43
2019-11-10,41
2019-11-17,45
2019-11-24,45
2019-12-01,41
2019-12-08,46
2019-12-15,47
2019-12-22,100
2019-12-29,66
2020-01-05,47
2020-01-12,63
2020-01-19,48
2020-01-26,49
2020-02-02,60
2020-02-09,60
2020-02-16,55
2020-02-23,53
2020-03-01,58
2020-03-08,50
