date,Game_MX
2020-03-15,33
2020-03-22,35
2020-03-29,35
2020-04-05,39
2020-04-12,36
2020-04-19,36
2020-04-26,72
2020-05-03,100
2020-05-10,40
2020-05-17,37
2020-05-24,35
2020-05-31,34
2020-06-07,34
2020-06-14,33
2020-06-21,32
2020-06-28,33
2020-07-05,32
2020-07-12,33
2020-07-19,33
2020-07-26,32
2020-08-02,31
2020-08-09,33
2020-08-16,32
2020-08-23,31
2020-08-30,34
2020-09-06,35
2020-09-13,34
2020-09-20,33
2020-09-27,33
2020-10-04,33
2020-10-11,32
2020-10-18,35
2020-10-25,33
2020-11-01,31
2020-11-08,33
2020-11-15,33
2020-11-22,35
2020-11-29,35
2020-12-06,37
2020-12-13,35
2020-12-20,37
2020-12-27,34
2021-01-03,34
2021-01-10,31
2021-01-17,32
2021-01-24,31
2021-01-31,35
2021-02-07,33
2021-02-14,29
2021-02-21,29
2021-02-28,31
2021-03-07,30
2021-03-14,30
2021-03-21,31
2021-03-28,33
2021-04-04,31
2021-04-11,30
2021-04-18,31
2021-04-25,31
2021-05-02,31
2021-05-09,31
2021-05-16,33
2021-05-23,34
2021-05-30,33
2021-06-06,35
2021-06-13,35
2021-06-20,31
2021-06-27,33
2021-07-04,33
2021-07-11,35
2021-07-18,55
2021-07-25,66
2021-08-01,58
2021-08-08,36
2021-08-15,33
2021-08-22,42
2021-08-29,39
