date,Collecting_MY
2018-01-07,79
2018-01-14,36
2018-01-21,53
2018-01-28,36
2018-02-04,54
2018-02-11,66
2018-02-18,61
2018-02-25,42
2018-03-04,9
2018-03-11,51
2018-03-18,25
2018-03-25,34
2018-04-01,59
2018-04-08,25
2018-04-15,26
2018-04-22,34
2018-04-29,93
2018-05-06,0
2018-05-13,43
2018-05-20,58
2018-05-27,34
2018-06-03,42
2018-06-10,64
2018-06-17,42
2018-06-24,63
2018-07-01,8
2018-07-08,48
2018-07-15,50
2018-07-22,42
2018-07-29,81
2018-08-05,33
2018-08-12,49
2018-08-19,60
2018-08-26,50
2018-09-02,40
2018-09-09,32
2018-09-16,53
2018-09-23,67
2018-09-30,44
2018-10-07,29
2018-10-14,81
2018-10-21,75
2018-10-28,31
2018-11-04,24
2018-11-11,40
2018-11-18,49
2018-11-25,48
2018-12-02,55
2018-12-09,32
2018-12-16,61
2018-12-23,33
2018-12-30,72
2019-01-06,48
2019-01-13,73
2019-01-20,73
2019-01-27,48
2019-02-03,43
2019-02-10,31
2019-02-17,23
2019-02-24,61
2019-03-03,63
2019-03-10,31
2019-03-17,40
2019-03-24,15
2019-03-31,55
2019-04-07,55
2019-04-14,55
2019-04-21,39
2019-04-28,48
2019-05-05,47
2019-05-12,48
2019-05-19,55
2019-05-26,55
2019-06-02,46
2019-06-09,45
2019-06-16,60
2019-06-23,66
2019-06-30,37
2019-07-07,74
2019-07-14,59
2019-07-21,60
2019-07-28,23
2019-08-04,23
2019-08-11,100
2019-08-18,7
2019-08-25,67
2019-09-01,15
2019-09-08,50
2019-09-15,70
2019-09-22,71
2019-09-29,71
2019-10-06,57
2019-10-13,50
2019-10-20,51
2019-10-27,52
2019-11-03,50
2019-11-10,14
2019-11-17,43
2019-11-24,57
2019-12-01,57
2019-12-08,14
2019-12-15,35
2019-12-22,58
2019-12-29,35
2020-01-05,28
2020-01-12,60
2020-01-19,22
2020-01-26,22
2020-02-02,55
2020-02-09,48
2020-02-16,47
2020-02-23,38
2020-03-01,57
2020-03-08,26
