date,Cooking_MY
2018-01-07,62
2018-01-14,67
2018-01-21,65
2018-01-28,62
2018-02-04,63
2018-02-11,63
2018-02-18,55
2018-02-25,53
2018-03-04,54
2018-03-11,60
2018-03-18,56
2018-03-25,56
2018-04-01,58
2018-04-08,56
2018-04-15,57
2018-04-22,54
2018-04-29,55
2018-05-06,47
2018-05-13,86
2018-05-20,100
2018-05-27,95
2018-06-03,71
2018-06-10,75
2018-06-17,56
2018-06-24,58
2018-07-01,58
2018-07-08,64
2018-07-15,60
2018-07-22,58
2018-07-29,60
2018-08-05,64
2018-08-12,62
2018-08-19,61
2018-08-26,62
2018-09-02,59
2018-09-09,64
2018-09-16,54
2018-09-23,60
2018-09-30,48
2018-10-07,57
2018-10-14,54
2018-10-21,55
2018-10-28,55
2018-11-04,62
2018-11-11,55
2018-11-18,53
2018-11-25,52
2018-12-02,54
2018-12-09,55
2018-12-16,52
2018-12-23,52
2018-12-30,58
2019-01-06,57
2019-01-13,61
2019-01-20,60
2019-01-27,63
2019-02-03,61
2019-02-10,70
2019-02-17,62
2019-02-24,54
2019-03-03,59
2019-03-10,61
2019-03-17,61
2019-03-24,53
2019-03-31,56
2019-04-07,57
2019-04-14,59
2019-04-21,54
2019-04-28,49
2019-05-05,96
2019-05-12,94
2019-05-19,82
2019-05-26,66
2019-06-02,68
2019-06-09,57
2019-06-16,55
2019-06-23,58
2019-06-30,49
2019-07-07,60
2019-07-14,59
2019-07-21,55
2019-07-28,55
2019-08-04,62
2019-08-11,59
2019-08-18,58
2019-08-25,52
2019-09-01,56
2019-09-08,58
2019-09-15,52
2019-09-22,54
2019-09-29,53
2019-10-06,57
2019-10-13,56
2019-10-20,55
2019-10-27,57
2019-11-03,55
2019-11-10,55
2019-11-17,55
2019-11-24,53
2019-12-01,52
2019-12-08,53
2019-12-15,53
2019-12-22,53
2019-12-29,54
2020-01-05,54
2020-01-12,54
2020-01-19,56
2020-01-26,52
2020-02-02,56
2020-02-09,57
2020-02-16,56
2020-02-23,51
2020-03-01,48
2020-03-08,53
