date,Crafts_MY
2020-03-15,59
2020-03-22,76
2020-03-29,60
2020-04-05,84
2020-04-12,86
2020-04-19,75
2020-04-26,69
2020-05-03,74
2020-05-10,76
2020-05-17,58
2020-05-24,68
2020-05-31,64
2020-06-07,72
2020-06-14,62
2020-06-21,74
2020-06-28,79
2020-07-05,53
2020-07-12,60
2020-07-19,62
2020-07-26,74
2020-08-02,69
2020-08-09,87
2020-08-16,83
2020-08-23,61
2020-08-30,73
2020-09-06,76
2020-09-13,58
2020-09-20,72
2020-09-27,91
2020-10-04,71
2020-10-11,78
2020-10-18,89
2020-10-25,87
2020-11-01,82
2020-11-08,82
2020-11-15,64
2020-11-22,59
2020-11-29,93
2020-12-06,81
2020-12-13,81
2020-12-20,67
2020-12-27,61
2021-01-03,66
2021-01-10,55
2021-01-17,66
2021-01-24,74
2021-01-31,79
2021-02-07,76
2021-02-14,81
2021-02-21,91
2021-02-28,62
2021-03-07,64
2021-03-14,74
2021-03-21,60
2021-03-28,60
2021-04-04,71
2021-04-11,80
2021-04-18,100
2021-04-25,63
2021-05-02,86
2021-05-09,55
2021-05-16,78
2021-05-23,56
2021-05-30,66
2021-06-06,76
2021-06-13,86
2021-06-20,79
2021-06-27,78
2021-07-04,86
2021-07-11,88
2021-07-18,48
2021-07-25,76
2021-08-01,83
2021-08-08,72
2021-08-15,86
2021-08-22,62
2021-08-29,78
