date,Performing_Art_MY
2020-03-15,18
2020-03-22,17
2020-03-29,29
2020-04-05,46
2020-04-12,16
2020-04-19,47
2020-04-26,33
2020-05-03,63
2020-05-10,16
2020-05-17,51
2020-05-24,36
2020-05-31,32
2020-06-07,17
2020-06-14,16
2020-06-21,17
2020-06-28,66
2020-07-05,100
2020-07-12,52
2020-07-19,17
2020-07-26,37
2020-08-02,0
2020-08-09,0
2020-08-16,17
2020-08-23,34
2020-08-30,70
2020-09-06,0
2020-09-13,18
2020-09-20,35
2020-09-27,18
2020-10-04,0
2020-10-11,17
2020-10-18,0
2020-10-25,17
2020-11-01,17
2020-11-08,17
2020-11-15,17
2020-11-22,0
2020-11-29,50
2020-12-06,51
2020-12-13,17
2020-12-20,18
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,16
2021-01-24,64
2021-01-31,32
2021-02-07,17
2021-02-14,49
2021-02-21,49
2021-02-28,49
2021-03-07,17
2021-03-14,16
2021-03-21,35
2021-03-28,18
2021-04-04,0
2021-04-11,35
2021-04-18,34
2021-04-25,50
2021-05-02,31
2021-05-09,18
2021-05-16,16
2021-05-23,16
2021-05-30,16
2021-06-06,0
2021-06-13,15
2021-06-20,0
2021-06-27,31
2021-07-04,15
2021-07-11,15
2021-07-18,86
2021-07-25,0
2021-08-01,47
2021-08-08,50
2021-08-15,32
2021-08-22,54
2021-08-29,35
