date,Sports_MY
2018-01-07,51
2018-01-14,56
2018-01-21,58
2018-01-28,57
2018-02-04,57
2018-02-11,60
2018-02-18,59
2018-02-25,61
2018-03-04,60
2018-03-11,49
2018-03-18,51
2018-03-25,60
2018-04-01,74
2018-04-08,79
2018-04-15,65
2018-04-22,57
2018-04-29,53
2018-05-06,40
2018-05-13,45
2018-05-20,50
2018-05-27,49
2018-06-03,49
2018-06-10,49
2018-06-17,58
2018-06-24,65
2018-07-01,60
2018-07-08,54
2018-07-15,57
2018-07-22,55
2018-07-29,49
2018-08-05,54
2018-08-12,70
2018-08-19,94
2018-08-26,100
2018-09-02,56
2018-09-09,56
2018-09-16,60
2018-09-23,58
2018-09-30,58
2018-10-07,66
2018-10-14,58
2018-10-21,51
2018-10-28,51
2018-11-04,55
2018-11-11,54
2018-11-18,49
2018-11-25,43
2018-12-02,51
2018-12-09,52
2018-12-16,48
2018-12-23,52
2018-12-30,50
2019-01-06,52
2019-01-13,64
2019-01-20,55
2019-01-27,55
2019-02-03,49
2019-02-10,56
2019-02-17,53
2019-02-24,63
2019-03-03,59
2019-03-10,61
2019-03-17,59
2019-03-24,51
2019-03-31,54
2019-04-07,60
2019-04-14,55
2019-04-21,57
2019-04-28,52
2019-05-05,53
2019-05-12,53
2019-05-19,42
2019-05-26,48
2019-06-02,52
2019-06-09,50
2019-06-16,50
2019-06-23,53
2019-06-30,52
2019-07-07,54
2019-07-14,54
2019-07-21,56
2019-07-28,60
2019-08-04,54
2019-08-11,49
2019-08-18,54
2019-08-25,47
2019-09-01,52
2019-09-08,60
2019-09-15,51
2019-09-22,58
2019-09-29,63
2019-10-06,65
2019-10-13,60
2019-10-20,67
2019-10-27,65
2019-11-03,59
2019-11-10,54
2019-11-17,63
2019-11-24,73
2019-12-01,100
2019-12-08,77
2019-12-15,55
2019-12-22,52
2019-12-29,55
2020-01-05,58
2020-01-12,61
2020-01-19,53
2020-01-26,59
2020-02-02,61
2020-02-09,57
2020-02-16,69
2020-02-23,60
2020-03-01,65
2020-03-08,60
