date,Collecting_NG
2018-01-07,32
2018-01-14,45
2018-01-21,61
2018-01-28,15
2018-02-04,48
2018-02-11,47
2018-02-18,0
2018-02-25,47
2018-03-04,92
2018-03-11,0
2018-03-18,65
2018-03-25,68
2018-04-01,16
2018-04-08,16
2018-04-15,65
2018-04-22,50
2018-04-29,32
2018-05-06,16
2018-05-13,100
2018-05-20,17
2018-05-27,34
2018-06-03,33
2018-06-10,16
2018-06-17,50
2018-06-24,33
2018-07-01,32
2018-07-08,47
2018-07-15,48
2018-07-22,48
2018-07-29,32
2018-08-05,29
2018-08-12,15
2018-08-19,16
2018-08-26,59
2018-09-02,47
2018-09-09,16
2018-09-16,73
2018-09-23,14
2018-09-30,43
2018-10-07,31
2018-10-14,30
2018-10-21,59
2018-10-28,15
2018-11-04,58
2018-11-11,0
2018-11-18,16
2018-11-25,79
2018-12-02,80
2018-12-09,0
2018-12-16,0
2018-12-23,18
2018-12-30,0
2019-01-06,31
2019-01-13,0
2019-01-20,0
2019-01-27,61
2019-02-03,0
2019-02-10,45
2019-02-17,44
2019-02-24,53
2019-03-03,15
2019-03-10,56
2019-03-17,80
2019-03-24,33
2019-03-31,49
2019-04-07,33
2019-04-14,16
2019-04-21,0
2019-04-28,34
2019-05-05,17
2019-05-12,49
2019-05-19,16
2019-05-26,80
2019-06-02,33
2019-06-09,79
2019-06-16,33
2019-06-23,33
2019-06-30,79
2019-07-07,78
2019-07-14,16
2019-07-21,16
2019-07-28,46
2019-08-04,45
2019-08-11,15
2019-08-18,30
2019-08-25,46
2019-09-01,76
2019-09-08,45
2019-09-15,29
2019-09-22,15
2019-09-29,100
2019-10-06,29
2019-10-13,75
2019-10-20,77
2019-10-27,46
2019-11-03,29
2019-11-10,77
2019-11-17,31
2019-11-24,44
2019-12-01,15
2019-12-08,15
2019-12-15,15
2019-12-22,0
2019-12-29,0
2020-01-05,55
2020-01-12,0
2020-01-19,69
2020-01-26,41
2020-02-02,57
2020-02-09,42
2020-02-16,41
2020-02-23,27
2020-03-01,41
2020-03-08,40
