date,Learning_NG
2018-01-07,69
2018-01-14,74
2018-01-21,77
2018-01-28,85
2018-02-04,82
2018-02-11,82
2018-02-18,86
2018-02-25,83
2018-03-04,79
2018-03-11,73
2018-03-18,77
2018-03-25,74
2018-04-01,66
2018-04-08,88
2018-04-15,74
2018-04-22,70
2018-04-29,71
2018-05-06,63
2018-05-13,74
2018-05-20,85
2018-05-27,69
2018-06-03,74
2018-06-10,75
2018-06-17,75
2018-06-24,77
2018-07-01,80
2018-07-08,79
2018-07-15,87
2018-07-22,74
2018-07-29,77
2018-08-05,78
2018-08-12,84
2018-08-19,59
2018-08-26,82
2018-09-02,65
2018-09-09,68
2018-09-16,79
2018-09-23,65
2018-09-30,61
2018-10-07,63
2018-10-14,56
2018-10-21,70
2018-10-28,70
2018-11-04,48
2018-11-11,57
2018-11-18,47
2018-11-25,58
2018-12-02,55
2018-12-09,57
2018-12-16,47
2018-12-23,42
2018-12-30,62
2019-01-06,59
2019-01-13,60
2019-01-20,80
2019-01-27,73
2019-02-03,62
2019-02-10,46
2019-02-17,61
2019-02-24,58
2019-03-03,65
2019-03-10,53
2019-03-17,77
2019-03-24,93
2019-03-31,77
2019-04-07,77
2019-04-14,66
2019-04-21,81
2019-04-28,77
2019-05-05,83
2019-05-12,80
2019-05-19,95
2019-05-26,66
2019-06-02,79
2019-06-09,80
2019-06-16,78
2019-06-23,91
2019-06-30,70
2019-07-07,70
2019-07-14,71
2019-07-21,91
2019-07-28,84
2019-08-04,64
2019-08-11,61
2019-08-18,90
2019-08-25,81
2019-09-01,75
2019-09-08,90
2019-09-15,100
2019-09-22,81
2019-09-29,70
2019-10-06,85
2019-10-13,86
2019-10-20,82
2019-10-27,64
2019-11-03,81
2019-11-10,66
2019-11-17,65
2019-11-24,69
2019-12-01,68
2019-12-08,50
2019-12-15,57
2019-12-22,53
2019-12-29,62
2020-01-05,66
2020-01-12,73
2020-01-19,80
2020-01-26,80
2020-02-02,81
2020-02-09,67
2020-02-16,84
2020-02-23,76
2020-03-01,81
2020-03-08,72
