date,Performing_Art_NG
2020-03-15,17
2020-03-22,0
2020-03-29,17
2020-04-05,0
2020-04-12,36
2020-04-19,17
2020-04-26,17
2020-05-03,17
2020-05-10,0
2020-05-17,16
2020-05-24,100
2020-05-31,0
2020-06-07,16
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,14
2020-07-12,14
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,14
2020-08-23,14
2020-08-30,14
2020-09-06,56
2020-09-13,14
2020-09-20,14
2020-09-27,14
2020-10-04,28
2020-10-11,30
2020-10-18,0
2020-10-25,30
2020-11-01,27
2020-11-08,0
2020-11-15,29
2020-11-22,14
2020-11-29,0
2020-12-06,30
2020-12-13,0
2020-12-20,0
2020-12-27,33
2021-01-03,0
2021-01-10,15
2021-01-17,29
2021-01-24,29
2021-01-31,28
2021-02-07,57
2021-02-14,0
2021-02-21,14
2021-02-28,27
2021-03-07,0
2021-03-14,13
2021-03-21,0
2021-03-28,14
2021-04-04,14
2021-04-11,14
2021-04-18,13
2021-04-25,13
2021-05-02,0
2021-05-09,65
2021-05-16,13
2021-05-23,27
2021-05-30,42
2021-06-06,0
2021-06-13,13
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,28
2021-07-18,29
2021-07-25,0
2021-08-01,27
2021-08-08,0
2021-08-15,0
2021-08-22,13
2021-08-29,0
