date,Collecting_NL
2020-03-15,61
2020-03-22,51
2020-03-29,71
2020-04-05,40
2020-04-12,26
2020-04-19,51
2020-04-26,34
2020-05-03,38
2020-05-10,49
2020-05-17,60
2020-05-24,65
2020-05-31,45
2020-06-07,63
2020-06-14,49
2020-06-21,51
2020-06-28,62
2020-07-05,17
2020-07-12,37
2020-07-19,28
2020-07-26,57
2020-08-02,62
2020-08-09,36
2020-08-16,13
2020-08-23,56
2020-08-30,83
2020-09-06,75
2020-09-13,99
2020-09-20,98
2020-09-27,49
2020-10-04,54
2020-10-11,58
2020-10-18,67
2020-10-25,80
2020-11-01,100
2020-11-08,28
2020-11-15,56
2020-11-22,37
2020-11-29,66
2020-12-06,57
2020-12-13,23
2020-12-20,30
2020-12-27,65
2021-01-03,55
2021-01-10,55
2021-01-17,54
2021-01-24,59
2021-01-31,50
2021-02-07,52
2021-02-14,42
2021-02-21,24
2021-02-28,68
2021-03-07,22
2021-03-14,54
2021-03-21,72
2021-03-28,38
2021-04-04,50
2021-04-11,61
2021-04-18,57
2021-04-25,43
2021-05-02,37
2021-05-09,38
2021-05-16,72
2021-05-23,56
2021-05-30,43
2021-06-06,47
2021-06-13,23
2021-06-20,65
2021-06-27,28
2021-07-04,28
2021-07-11,34
2021-07-18,42
2021-07-25,30
2021-08-01,16
2021-08-08,32
2021-08-15,52
2021-08-22,54
2021-08-29,59
