date,Game_NL
2020-03-15,49
2020-03-22,49
2020-03-29,44
2020-04-05,39
2020-04-12,42
2020-04-19,39
2020-04-26,100
2020-05-03,73
2020-05-10,33
2020-05-17,32
2020-05-24,31
2020-05-31,32
2020-06-07,31
2020-06-14,31
2020-06-21,31
2020-06-28,35
2020-07-05,36
2020-07-12,31
2020-07-19,29
2020-07-26,29
2020-08-02,29
2020-08-09,26
2020-08-16,31
2020-08-23,33
2020-08-30,32
2020-09-06,36
2020-09-13,33
2020-09-20,35
2020-09-27,36
2020-10-04,40
2020-10-11,37
2020-10-18,38
2020-10-25,38
2020-11-01,39
2020-11-08,43
2020-11-15,45
2020-11-22,44
2020-11-29,45
2020-12-06,42
2020-12-13,49
2020-12-20,46
2020-12-27,43
2021-01-03,42
2021-01-10,41
2021-01-17,40
2021-01-24,42
2021-01-31,40
2021-02-07,34
2021-02-14,36
2021-02-21,33
2021-02-28,36
2021-03-07,34
2021-03-14,33
2021-03-21,34
2021-03-28,30
2021-04-04,35
2021-04-11,33
2021-04-18,35
2021-04-25,32
2021-05-02,31
2021-05-09,35
2021-05-16,32
2021-05-23,31
2021-05-30,30
2021-06-06,31
2021-06-13,33
2021-06-20,35
2021-06-27,36
2021-07-04,34
2021-07-11,36
2021-07-18,48
2021-07-25,70
2021-08-01,75
2021-08-08,40
2021-08-15,33
2021-08-22,43
2021-08-29,48
