date,Music_NL
2018-01-07,100
2018-01-14,68
2018-01-21,64
2018-01-28,67
2018-02-04,66
2018-02-11,65
2018-02-18,62
2018-02-25,60
2018-03-04,63
2018-03-11,67
2018-03-18,63
2018-03-25,64
2018-04-01,62
2018-04-08,62
2018-04-15,60
2018-04-22,60
2018-04-29,72
2018-05-06,78
2018-05-13,73
2018-05-20,79
2018-05-27,78
2018-06-03,76
2018-06-10,80
2018-06-17,70
2018-06-24,72
2018-07-01,72
2018-07-08,76
2018-07-15,77
2018-07-22,72
2018-07-29,65
2018-08-05,68
2018-08-12,62
2018-08-19,64
2018-08-26,69
2018-09-02,57
2018-09-09,65
2018-09-16,64
2018-09-23,61
2018-09-30,65
2018-10-07,73
2018-10-14,70
2018-10-21,66
2018-10-28,70
2018-11-04,71
2018-11-11,66
2018-11-18,63
2018-11-25,68
2018-12-02,66
2018-12-09,65
2018-12-16,64
2018-12-23,67
2018-12-30,63
2019-01-06,62
2019-01-13,63
2019-01-20,65
2019-01-27,61
2019-02-03,66
2019-02-10,66
2019-02-17,67
2019-02-24,64
2019-03-03,65
2019-03-10,69
2019-03-17,61
2019-03-24,63
2019-03-31,63
2019-04-07,69
2019-04-14,65
2019-04-21,71
2019-04-28,70
2019-05-05,72
2019-05-12,67
2019-05-19,68
2019-05-26,61
2019-06-02,63
2019-06-09,63
2019-06-16,59
2019-06-23,55
2019-06-30,58
2019-07-07,60
2019-07-14,57
2019-07-21,54
2019-07-28,58
2019-08-04,58
2019-08-11,61
2019-08-18,61
2019-08-25,54
2019-09-01,49
2019-09-08,54
2019-09-15,57
2019-09-22,57
2019-09-29,54
2019-10-06,59
2019-10-13,53
2019-10-20,58
2019-10-27,56
2019-11-03,62
2019-11-10,56
2019-11-17,50
2019-11-24,52
2019-12-01,60
2019-12-08,59
2019-12-15,56
2019-12-22,58
2019-12-29,55
2020-01-05,54
2020-01-12,56
2020-01-19,52
2020-01-26,51
2020-02-02,56
2020-02-09,53
2020-02-16,53
2020-02-23,51
2020-03-01,54
2020-03-08,47
