date,Arts_NO
2018-01-07,68
2018-01-14,92
2018-01-21,83
2018-01-28,76
2018-02-04,70
2018-02-11,68
2018-02-18,74
2018-02-25,71
2018-03-04,66
2018-03-11,64
2018-03-18,78
2018-03-25,62
2018-04-01,67
2018-04-08,84
2018-04-15,64
2018-04-22,84
2018-04-29,75
2018-05-06,68
2018-05-13,54
2018-05-20,63
2018-05-27,64
2018-06-03,56
2018-06-10,49
2018-06-17,54
2018-06-24,56
2018-07-01,56
2018-07-08,48
2018-07-15,55
2018-07-22,75
2018-07-29,52
2018-08-05,60
2018-08-12,78
2018-08-19,63
2018-08-26,96
2018-09-02,81
2018-09-09,76
2018-09-16,73
2018-09-23,65
2018-09-30,69
2018-10-07,69
2018-10-14,88
2018-10-21,72
2018-10-28,75
2018-11-04,73
2018-11-11,71
2018-11-18,66
2018-11-25,63
2018-12-02,74
2018-12-09,66
2018-12-16,54
2018-12-23,54
2018-12-30,76
2019-01-06,67
2019-01-13,85
2019-01-20,77
2019-01-27,88
2019-02-03,81
2019-02-10,100
2019-02-17,65
2019-02-24,94
2019-03-03,77
2019-03-10,84
2019-03-17,91
2019-03-24,92
2019-03-31,67
2019-04-07,58
2019-04-14,67
2019-04-21,74
2019-04-28,65
2019-05-05,77
2019-05-12,65
2019-05-19,82
2019-05-26,62
2019-06-02,83
2019-06-09,67
2019-06-16,54
2019-06-23,54
2019-06-30,51
2019-07-07,54
2019-07-14,49
2019-07-21,60
2019-07-28,52
2019-08-04,65
2019-08-11,70
2019-08-18,84
2019-08-25,81
2019-09-01,82
2019-09-08,71
2019-09-15,70
2019-09-22,61
2019-09-29,67
2019-10-06,67
2019-10-13,73
2019-10-20,71
2019-10-27,67
2019-11-03,65
2019-11-10,66
2019-11-17,76
2019-11-24,67
2019-12-01,71
2019-12-08,65
2019-12-15,68
2019-12-22,85
2019-12-29,76
2020-01-05,77
2020-01-12,75
2020-01-19,69
2020-01-26,60
2020-02-02,76
2020-02-09,89
2020-02-16,73
2020-02-23,80
2020-03-01,69
2020-03-08,61
