date,Crafts_NO
2020-03-15,91
2020-03-22,75
2020-03-29,69
2020-04-05,46
2020-04-12,45
2020-04-19,87
2020-04-26,57
2020-05-03,71
2020-05-10,37
2020-05-17,46
2020-05-24,56
2020-05-31,56
2020-06-07,40
2020-06-14,69
2020-06-21,38
2020-06-28,29
2020-07-05,34
2020-07-12,44
2020-07-19,41
2020-07-26,35
2020-08-02,38
2020-08-09,47
2020-08-16,62
2020-08-23,72
2020-08-30,64
2020-09-06,59
2020-09-13,56
2020-09-20,44
2020-09-27,56
2020-10-04,44
2020-10-11,100
2020-10-18,40
2020-10-25,38
2020-11-01,44
2020-11-08,42
2020-11-15,77
2020-11-22,52
2020-11-29,73
2020-12-06,54
2020-12-13,85
2020-12-20,54
2020-12-27,37
2021-01-03,25
2021-01-10,54
2021-01-17,92
2021-01-24,49
2021-01-31,75
2021-02-07,25
2021-02-14,71
2021-02-21,57
2021-02-28,43
2021-03-07,68
2021-03-14,62
2021-03-21,29
2021-03-28,33
2021-04-04,82
2021-04-11,33
2021-04-18,55
2021-04-25,62
2021-05-02,70
2021-05-09,47
2021-05-16,64
2021-05-23,77
2021-05-30,27
2021-06-06,38
2021-06-13,56
2021-06-20,54
2021-06-27,27
2021-07-04,41
2021-07-11,38
2021-07-18,20
2021-07-25,47
2021-08-01,28
2021-08-08,67
2021-08-15,75
2021-08-22,93
2021-08-29,50
