date,Game_NO
2020-03-15,62
2020-03-22,60
2020-03-29,55
2020-04-05,58
2020-04-12,50
2020-04-19,47
2020-04-26,100
2020-05-03,94
2020-05-10,51
2020-05-17,52
2020-05-24,47
2020-05-31,50
2020-06-07,50
2020-06-14,45
2020-06-21,33
2020-06-28,41
2020-07-05,41
2020-07-12,44
2020-07-19,38
2020-07-26,42
2020-08-02,38
2020-08-09,37
2020-08-16,44
2020-08-23,54
2020-08-30,54
2020-09-06,59
2020-09-13,52
2020-09-20,64
2020-09-27,51
2020-10-04,44
2020-10-11,51
2020-10-18,51
2020-10-25,51
2020-11-01,50
2020-11-08,55
2020-11-15,56
2020-11-22,58
2020-11-29,56
2020-12-06,58
2020-12-13,61
2020-12-20,65
2020-12-27,65
2021-01-03,51
2021-01-10,53
2021-01-17,52
2021-01-24,54
2021-01-31,56
2021-02-07,54
2021-02-14,53
2021-02-21,55
2021-02-28,49
2021-03-07,47
2021-03-14,49
2021-03-21,55
2021-03-28,54
2021-04-04,51
2021-04-11,45
2021-04-18,49
2021-04-25,51
2021-05-02,53
2021-05-09,44
2021-05-16,45
2021-05-23,44
2021-05-30,44
2021-06-06,46
2021-06-13,46
2021-06-20,35
2021-06-27,36
2021-07-04,35
2021-07-11,38
2021-07-18,44
2021-07-25,49
2021-08-01,37
2021-08-08,38
2021-08-15,43
2021-08-22,48
2021-08-29,55
