date,Arts_NZ
2020-03-15,69
2020-03-22,52
2020-03-29,62
2020-04-05,64
2020-04-12,72
2020-04-19,75
2020-04-26,73
2020-05-03,91
2020-05-10,76
2020-05-17,84
2020-05-24,79
2020-05-31,81
2020-06-07,91
2020-06-14,78
2020-06-21,81
2020-06-28,82
2020-07-05,74
2020-07-12,70
2020-07-19,86
2020-07-26,81
2020-08-02,100
2020-08-09,82
2020-08-16,99
2020-08-23,83
2020-08-30,93
2020-09-06,93
2020-09-13,89
2020-09-20,88
2020-09-27,73
2020-10-04,71
2020-10-11,80
2020-10-18,76
2020-10-25,62
2020-11-01,63
2020-11-08,64
2020-11-15,60
2020-11-22,72
2020-11-29,70
2020-12-06,74
2020-12-13,66
2020-12-20,57
2020-12-27,57
2021-01-03,61
2021-01-10,60
2021-01-17,67
2021-01-24,60
2021-01-31,85
2021-02-07,73
2021-02-14,73
2021-02-21,78
2021-02-28,69
2021-03-07,75
2021-03-14,74
2021-03-21,76
2021-03-28,75
2021-04-04,72
2021-04-11,86
2021-04-18,84
2021-04-25,77
2021-05-02,87
2021-05-09,76
2021-05-16,67
2021-05-23,78
2021-05-30,80
2021-06-06,78
2021-06-13,78
2021-06-20,69
2021-06-27,73
2021-07-04,79
2021-07-11,95
2021-07-18,83
2021-07-25,70
2021-08-01,84
2021-08-08,75
2021-08-15,77
2021-08-22,89
2021-08-29,70
