date,Collecting_NZ
2018-01-07,13
2018-01-14,59
2018-01-21,61
2018-01-28,36
2018-02-04,24
2018-02-11,81
2018-02-18,0
2018-02-25,0
2018-03-04,23
2018-03-11,35
2018-03-18,12
2018-03-25,24
2018-04-01,73
2018-04-08,68
2018-04-15,60
2018-04-22,36
2018-04-29,47
2018-05-06,0
2018-05-13,70
2018-05-20,70
2018-05-27,12
2018-06-03,48
2018-06-10,34
2018-06-17,59
2018-06-24,12
2018-07-01,24
2018-07-08,36
2018-07-15,13
2018-07-22,36
2018-07-29,59
2018-08-05,47
2018-08-12,72
2018-08-19,47
2018-08-26,37
2018-09-02,36
2018-09-09,85
2018-09-16,72
2018-09-23,49
2018-09-30,0
2018-10-07,13
2018-10-14,25
2018-10-21,25
2018-10-28,35
2018-11-04,59
2018-11-11,36
2018-11-18,23
2018-11-25,72
2018-12-02,25
2018-12-09,13
2018-12-16,52
2018-12-23,72
2018-12-30,43
2019-01-06,26
2019-01-13,37
2019-01-20,61
2019-01-27,25
2019-02-03,48
2019-02-10,82
2019-02-17,46
2019-02-24,82
2019-03-03,12
2019-03-10,34
2019-03-17,24
2019-03-24,23
2019-03-31,24
2019-04-07,60
2019-04-14,13
2019-04-21,63
2019-04-28,24
2019-05-05,0
2019-05-12,81
2019-05-19,23
2019-05-26,78
2019-06-02,45
2019-06-09,67
2019-06-16,34
2019-06-23,59
2019-06-30,68
2019-07-07,24
2019-07-14,12
2019-07-21,24
2019-07-28,46
2019-08-04,34
2019-08-11,55
2019-08-18,68
2019-08-25,69
2019-09-01,66
2019-09-08,100
2019-09-15,34
2019-09-22,22
2019-09-29,80
2019-10-06,34
2019-10-13,75
2019-10-20,32
2019-10-27,46
2019-11-03,22
2019-11-10,43
2019-11-17,33
2019-11-24,22
2019-12-01,34
2019-12-08,23
2019-12-15,11
2019-12-22,38
2019-12-29,61
2020-01-05,56
2020-01-12,32
2020-01-19,44
2020-01-26,32
2020-02-02,43
2020-02-09,94
2020-02-16,80
2020-02-23,40
2020-03-01,65
2020-03-08,39
