date,Crafts_NZ
2018-01-07,63
2018-01-14,48
2018-01-21,51
2018-01-28,45
2018-02-04,56
2018-02-11,54
2018-02-18,45
2018-02-25,40
2018-03-04,31
2018-03-11,58
2018-03-18,69
2018-03-25,63
2018-04-01,57
2018-04-08,42
2018-04-15,70
2018-04-22,51
2018-04-29,58
2018-05-06,80
2018-05-13,69
2018-05-20,75
2018-05-27,75
2018-06-03,65
2018-06-10,67
2018-06-17,70
2018-06-24,41
2018-07-01,46
2018-07-08,74
2018-07-15,81
2018-07-22,60
2018-07-29,58
2018-08-05,75
2018-08-12,31
2018-08-19,55
2018-08-26,51
2018-09-02,62
2018-09-09,51
2018-09-16,58
2018-09-23,51
2018-09-30,62
2018-10-07,76
2018-10-14,57
2018-10-21,57
2018-10-28,64
2018-11-04,51
2018-11-11,70
2018-11-18,68
2018-11-25,100
2018-12-02,58
2018-12-09,68
2018-12-16,59
2018-12-23,84
2018-12-30,48
2019-01-06,60
2019-01-13,52
2019-01-20,59
2019-01-27,46
2019-02-03,60
2019-02-10,49
2019-02-17,41
2019-02-24,49
2019-03-03,43
2019-03-10,46
2019-03-17,44
2019-03-24,52
2019-03-31,59
2019-04-07,92
2019-04-14,55
2019-04-21,53
2019-04-28,74
2019-05-05,73
2019-05-12,44
2019-05-19,64
2019-05-26,43
2019-06-02,67
2019-06-09,66
2019-06-16,52
2019-06-23,70
2019-06-30,47
2019-07-07,96
2019-07-14,44
2019-07-21,59
2019-07-28,52
2019-08-04,45
2019-08-11,69
2019-08-18,56
2019-08-25,50
2019-09-01,60
2019-09-08,50
2019-09-15,56
2019-09-22,58
2019-09-29,75
2019-10-06,63
2019-10-13,43
2019-10-20,55
2019-10-27,76
2019-11-03,51
2019-11-10,68
2019-11-17,74
2019-11-24,54
2019-12-01,58
2019-12-08,60
2019-12-15,55
2019-12-22,22
2019-12-29,63
2020-01-05,39
2020-01-12,62
2020-01-19,58
2020-01-26,41
2020-02-02,50
2020-02-09,61
2020-02-16,58
2020-02-23,52
2020-03-01,66
2020-03-08,49
