date,Music_NZ
2020-03-15,64
2020-03-22,81
2020-03-29,83
2020-04-05,87
2020-04-12,90
2020-04-19,100
2020-04-26,81
2020-05-03,87
2020-05-10,84
2020-05-17,81
2020-05-24,76
2020-05-31,74
2020-06-07,70
2020-06-14,78
2020-06-21,71
2020-06-28,84
2020-07-05,64
2020-07-12,73
2020-07-19,87
2020-07-26,82
2020-08-02,80
2020-08-09,72
2020-08-16,76
2020-08-23,75
2020-08-30,68
2020-09-06,75
2020-09-13,75
2020-09-20,87
2020-09-27,65
2020-10-04,59
2020-10-11,70
2020-10-18,67
2020-10-25,69
2020-11-01,66
2020-11-08,71
2020-11-15,68
2020-11-22,70
2020-11-29,72
2020-12-06,65
2020-12-13,79
2020-12-20,73
2020-12-27,84
2021-01-03,64
2021-01-10,63
2021-01-17,65
2021-01-24,72
2021-01-31,75
2021-02-07,76
2021-02-14,63
2021-02-21,62
2021-02-28,66
2021-03-07,76
2021-03-14,71
2021-03-21,70
2021-03-28,69
2021-04-04,64
2021-04-11,67
2021-04-18,65
2021-04-25,64
2021-05-02,67
2021-05-09,67
2021-05-16,72
2021-05-23,70
2021-05-30,65
2021-06-06,69
2021-06-13,60
2021-06-20,66
2021-06-27,62
2021-07-04,69
2021-07-11,59
2021-07-18,61
2021-07-25,56
2021-08-01,69
2021-08-08,61
2021-08-15,67
2021-08-22,70
2021-08-29,84
