date,Performing_Art_NZ
2020-03-15,0
2020-03-22,16
2020-03-29,17
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,15
2020-05-03,15
2020-05-10,16
2020-05-17,17
2020-05-24,32
2020-05-31,64
2020-06-07,49
2020-06-14,65
2020-06-21,33
2020-06-28,17
2020-07-05,18
2020-07-12,18
2020-07-19,18
2020-07-26,53
2020-08-02,34
2020-08-09,17
2020-08-16,16
2020-08-23,65
2020-08-30,34
2020-09-06,52
2020-09-13,17
2020-09-20,52
2020-09-27,58
2020-10-04,20
2020-10-11,21
2020-10-18,0
2020-10-25,21
2020-11-01,19
2020-11-08,0
2020-11-15,41
2020-11-22,20
2020-11-29,41
2020-12-06,41
2020-12-13,0
2020-12-20,22
2020-12-27,0
2021-01-03,20
2021-01-10,0
2021-01-17,19
2021-01-24,39
2021-01-31,0
2021-02-07,41
2021-02-14,0
2021-02-21,0
2021-02-28,19
2021-03-07,0
2021-03-14,38
2021-03-21,20
2021-03-28,0
2021-04-04,100
2021-04-11,0
2021-04-18,20
2021-04-25,20
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,20
2021-05-30,39
2021-06-06,20
2021-06-13,19
2021-06-20,0
2021-06-27,40
2021-07-04,40
2021-07-11,39
2021-07-18,0
2021-07-25,39
2021-08-01,0
2021-08-08,0
2021-08-15,19
2021-08-22,20
2021-08-29,19
