date,Sports_NZ
2020-03-15,43
2020-03-22,28
2020-03-29,30
2020-04-05,27
2020-04-12,32
2020-04-19,41
2020-04-26,33
2020-05-03,35
2020-05-10,37
2020-05-17,35
2020-05-24,41
2020-05-31,41
2020-06-07,45
2020-06-14,58
2020-06-21,63
2020-06-28,51
2020-07-05,51
2020-07-12,54
2020-07-19,60
2020-07-26,52
2020-08-02,60
2020-08-09,53
2020-08-16,50
2020-08-23,50
2020-08-30,53
2020-09-06,55
2020-09-13,51
2020-09-20,58
2020-09-27,56
2020-10-04,52
2020-10-11,66
2020-10-18,60
2020-10-25,61
2020-11-01,54
2020-11-08,52
2020-11-15,49
2020-11-22,62
2020-11-29,87
2020-12-06,57
2020-12-13,51
2020-12-20,59
2020-12-27,61
2021-01-03,67
2021-01-10,48
2021-01-17,49
2021-01-24,48
2021-01-31,56
2021-02-07,51
2021-02-14,46
2021-02-21,83
2021-02-28,65
2021-03-07,60
2021-03-14,63
2021-03-21,73
2021-03-28,63
2021-04-04,61
2021-04-11,61
2021-04-18,59
2021-04-25,59
2021-05-02,64
2021-05-09,62
2021-05-16,58
2021-05-23,64
2021-05-30,61
2021-06-06,66
2021-06-13,76
2021-06-20,65
2021-06-27,77
2021-07-04,70
2021-07-11,67
2021-07-18,58
2021-07-25,99
2021-08-01,100
2021-08-08,71
2021-08-15,41
2021-08-22,55
2021-08-29,55
