date,Cooking_PK
2018-01-07,74
2018-01-14,73
2018-01-21,77
2018-01-28,61
2018-02-04,75
2018-02-11,77
2018-02-18,82
2018-02-25,82
2018-03-04,75
2018-03-11,79
2018-03-18,77
2018-03-25,68
2018-04-01,83
2018-04-08,82
2018-04-15,69
2018-04-22,74
2018-04-29,71
2018-05-06,61
2018-05-13,91
2018-05-20,95
2018-05-27,84
2018-06-03,97
2018-06-10,75
2018-06-17,89
2018-06-24,93
2018-07-01,74
2018-07-08,85
2018-07-15,62
2018-07-22,72
2018-07-29,65
2018-08-05,71
2018-08-12,80
2018-08-19,83
2018-08-26,73
2018-09-02,79
2018-09-09,70
2018-09-16,87
2018-09-23,53
2018-09-30,67
2018-10-07,66
2018-10-14,65
2018-10-21,68
2018-10-28,65
2018-11-04,59
2018-11-11,64
2018-11-18,54
2018-11-25,72
2018-12-02,56
2018-12-09,82
2018-12-16,66
2018-12-23,72
2018-12-30,72
2019-01-06,65
2019-01-13,59
2019-01-20,67
2019-01-27,71
2019-02-03,55
2019-02-10,55
2019-02-17,72
2019-02-24,57
2019-03-03,63
2019-03-10,62
2019-03-17,42
2019-03-24,65
2019-03-31,63
2019-04-07,60
2019-04-14,55
2019-04-21,70
2019-04-28,83
2019-05-05,86
2019-05-12,83
2019-05-19,69
2019-05-26,56
2019-06-02,56
2019-06-09,62
2019-06-16,66
2019-06-23,59
2019-06-30,60
2019-07-07,61
2019-07-14,71
2019-07-21,67
2019-07-28,78
2019-08-04,72
2019-08-11,65
2019-08-18,60
2019-08-25,63
2019-09-01,56
2019-09-08,61
2019-09-15,55
2019-09-22,63
2019-09-29,64
2019-10-06,56
2019-10-13,63
2019-10-20,71
2019-10-27,66
2019-11-03,73
2019-11-10,60
2019-11-17,78
2019-11-24,55
2019-12-01,61
2019-12-08,67
2019-12-15,78
2019-12-22,63
2019-12-29,69
2020-01-05,67
2020-01-12,67
2020-01-19,70
2020-01-26,100
2020-02-02,73
2020-02-09,55
2020-02-16,71
2020-02-23,67
2020-03-01,53
2020-03-08,67
