date,Game_PK
2020-03-15,24
2020-03-22,32
2020-03-29,33
2020-04-05,30
2020-04-12,28
2020-04-19,30
2020-04-26,65
2020-05-03,100
2020-05-10,30
2020-05-17,28
2020-05-24,26
2020-05-31,26
2020-06-07,25
2020-06-14,25
2020-06-21,24
2020-06-28,26
2020-07-05,25
2020-07-12,23
2020-07-19,23
2020-07-26,25
2020-08-02,22
2020-08-09,20
2020-08-16,21
2020-08-23,20
2020-08-30,20
2020-09-06,21
2020-09-13,20
2020-09-20,20
2020-09-27,19
2020-10-04,16
2020-10-11,17
2020-10-18,15
2020-10-25,17
2020-11-01,17
2020-11-08,17
2020-11-15,16
2020-11-22,16
2020-11-29,18
2020-12-06,18
2020-12-13,17
2020-12-20,19
2020-12-27,18
2021-01-03,18
2021-01-10,20
2021-01-17,18
2021-01-24,18
2021-01-31,18
2021-02-07,15
2021-02-14,15
2021-02-21,14
2021-02-28,14
2021-03-07,17
2021-03-14,17
2021-03-21,16
2021-03-28,18
2021-04-04,16
2021-04-11,20
2021-04-18,19
2021-04-25,20
2021-05-02,19
2021-05-09,22
2021-05-16,19
2021-05-23,17
2021-05-30,17
2021-06-06,16
2021-06-13,15
2021-06-20,16
2021-06-27,16
2021-07-04,15
2021-07-11,16
2021-07-18,18
2021-07-25,16
2021-08-01,16
2021-08-08,15
2021-08-15,17
2021-08-22,16
2021-08-29,15
