date,Sports_PK
2018-01-07,15
2018-01-14,11
2018-01-21,14
2018-01-28,14
2018-02-04,10
2018-02-11,10
2018-02-18,24
2018-02-25,29
2018-03-04,23
2018-03-11,18
2018-03-18,19
2018-03-25,20
2018-04-01,13
2018-04-08,13
2018-04-15,11
2018-04-22,9
2018-04-29,9
2018-05-06,9
2018-05-13,9
2018-05-20,14
2018-05-27,12
2018-06-03,8
2018-06-10,13
2018-06-17,12
2018-06-24,14
2018-07-01,17
2018-07-08,16
2018-07-15,14
2018-07-22,6
2018-07-29,7
2018-08-05,7
2018-08-12,7
2018-08-19,6
2018-08-26,7
2018-09-02,8
2018-09-09,9
2018-09-16,56
2018-09-23,54
2018-09-30,9
2018-10-07,14
2018-10-14,12
2018-10-21,18
2018-10-28,22
2018-11-04,25
2018-11-11,17
2018-11-18,16
2018-11-25,13
2018-12-02,16
2018-12-09,9
2018-12-16,9
2018-12-23,13
2018-12-30,11
2019-01-06,9
2019-01-13,19
2019-01-20,25
2019-01-27,24
2019-02-03,19
2019-02-10,19
2019-02-17,16
2019-02-24,14
2019-03-03,13
2019-03-10,16
2019-03-17,12
2019-03-24,16
2019-03-31,11
2019-04-07,9
2019-04-14,9
2019-04-21,8
2019-04-28,8
2019-05-05,15
2019-05-12,16
2019-05-19,13
2019-05-26,32
2019-06-02,50
2019-06-09,53
2019-06-16,66
2019-06-23,100
2019-06-30,44
2019-07-07,20
2019-07-14,16
2019-07-21,9
2019-07-28,8
2019-08-04,8
2019-08-11,7
2019-08-18,7
2019-08-25,6
2019-09-01,7
2019-09-08,7
2019-09-15,7
2019-09-22,10
2019-09-29,21
2019-10-06,15
2019-10-13,10
2019-10-20,9
2019-10-27,10
2019-11-03,20
2019-11-10,11
2019-11-17,12
2019-11-24,11
2019-12-01,11
2019-12-08,14
2019-12-15,15
2019-12-22,11
2019-12-29,6
2020-01-05,9
2020-01-12,11
2020-01-19,16
2020-01-26,12
2020-02-02,13
2020-02-09,12
2020-02-16,21
2020-02-23,20
2020-03-01,18
2020-03-08,19
