date,Sports_PE
2020-03-15,22
2020-03-22,16
2020-03-29,15
2020-04-05,15
2020-04-12,14
2020-04-19,12
2020-04-26,13
2020-05-03,13
2020-05-10,11
2020-05-17,17
2020-05-24,15
2020-05-31,18
2020-06-07,19
2020-06-14,26
2020-06-21,21
2020-06-28,37
2020-07-05,25
2020-07-12,20
2020-07-19,27
2020-07-26,20
2020-08-02,27
2020-08-09,31
2020-08-16,31
2020-08-23,34
2020-08-30,27
2020-09-06,32
2020-09-13,33
2020-09-20,36
2020-09-27,35
2020-10-04,60
2020-10-11,60
2020-10-18,41
2020-10-25,44
2020-11-01,43
2020-11-08,52
2020-11-15,53
2020-11-22,52
2020-11-29,45
2020-12-06,41
2020-12-13,35
2020-12-20,37
2020-12-27,30
2021-01-03,29
2021-01-10,28
2021-01-17,27
2021-01-24,25
2021-01-31,27
2021-02-07,30
2021-02-14,31
2021-02-21,24
2021-02-28,25
2021-03-07,34
2021-03-14,33
2021-03-21,28
2021-03-28,30
2021-04-04,31
2021-04-11,29
2021-04-18,31
2021-04-25,34
2021-05-02,31
2021-05-09,35
2021-05-16,38
2021-05-23,30
2021-05-30,40
2021-06-06,38
2021-06-13,58
2021-06-20,71
2021-06-27,100
2021-07-04,70
2021-07-11,37
2021-07-18,30
2021-07-25,36
2021-08-01,33
2021-08-08,34
2021-08-15,33
2021-08-22,33
2021-08-29,46
