date,Cooking_PH
2018-01-07,56
2018-01-14,60
2018-01-21,57
2018-01-28,62
2018-02-04,50
2018-02-11,61
2018-02-18,59
2018-02-25,54
2018-03-04,54
2018-03-11,46
2018-03-18,51
2018-03-25,41
2018-04-01,40
2018-04-08,47
2018-04-15,38
2018-04-22,48
2018-04-29,40
2018-05-06,36
2018-05-13,46
2018-05-20,52
2018-05-27,42
2018-06-03,100
2018-06-10,72
2018-06-17,78
2018-06-24,81
2018-07-01,83
2018-07-08,67
2018-07-15,64
2018-07-22,63
2018-07-29,68
2018-08-05,62
2018-08-12,58
2018-08-19,59
2018-08-26,49
2018-09-02,62
2018-09-09,54
2018-09-16,49
2018-09-23,41
2018-09-30,55
2018-10-07,60
2018-10-14,63
2018-10-21,45
2018-10-28,44
2018-11-04,68
2018-11-11,72
2018-11-18,59
2018-11-25,52
2018-12-02,61
2018-12-09,54
2018-12-16,45
2018-12-23,64
2018-12-30,55
2019-01-06,55
2019-01-13,60
2019-01-20,55
2019-01-27,60
2019-02-03,61
2019-02-10,50
2019-02-17,52
2019-02-24,49
2019-03-03,51
2019-03-10,54
2019-03-17,50
2019-03-24,40
2019-03-31,35
2019-04-07,37
2019-04-14,39
2019-04-21,38
2019-04-28,34
2019-05-05,38
2019-05-12,38
2019-05-19,36
2019-05-26,45
2019-06-02,88
2019-06-09,72
2019-06-16,76
2019-06-23,66
2019-06-30,63
2019-07-07,69
2019-07-14,56
2019-07-21,65
2019-07-28,63
2019-08-04,59
2019-08-11,60
2019-08-18,57
2019-08-25,44
2019-09-01,55
2019-09-08,52
2019-09-15,63
2019-09-22,56
2019-09-29,49
2019-10-06,53
2019-10-13,56
2019-10-20,40
2019-10-27,40
2019-11-03,56
2019-11-10,48
2019-11-17,54
2019-11-24,48
2019-12-01,46
2019-12-08,36
2019-12-15,39
2019-12-22,48
2019-12-29,52
2020-01-05,52
2020-01-12,52
2020-01-19,55
2020-01-26,48
2020-02-02,55
2020-02-09,56
2020-02-16,62
2020-02-23,57
2020-03-01,54
2020-03-08,51
